Game	Date	Opponent	Score/Time	High points	High rebounds	High assists	Arena/Attendance	Record
1	May 19	Minnesota	W 83-64	White (17)	Catchings (7)	Catchings (4)	Conseco Fieldhouse 9,210	1-0
2	May 24	Los Angeles	W 83-70	Catchings (24)	Catchings (8)	Catchings (5)	Conseco Fieldhouse 5,058	2-0
3	May 29	@ Minnesota	W 89-75	Catchings (21)	Hoffman (7)	Catchings (6)	Target Center 6,238	3-0
4	June 3	Washington	W 70-66	White (20)	Catchings (9)	DeForge (4)	Conseco Fieldhouse 6,972	4-0
5	June 5	@ New York	L 78-67	Catchings (21)	Whitmore (8)	Catchings (9)	Madison Square Garden 7,282	4-1
6	June 6	Houston	W 84-59	Sutton-Brown (17)	Catchings (7)	Sharp (6)	Conseco Fieldhouse 5,909	5-1
7	June 8	@ Washington	W 74-69	Catchings (24)	Catchings (12)	Bevilaqua (5)	Verizon Center 7,110	6-1
8	June 10	New York	W 80-61	Sutton-Brown , Whitmore (22)	Sutton-Brown (13)	Bevilaqua , Catchings (4)	Conseco Fieldhouse 6,938	7-1
9	June 13	Seattle	W 90-62	White (23)	Catchings (10)	Whitmore (5)	Conseco Fieldhouse 5,838	8-1
10	June 15	Phoenix	L 89-78	Catchings , Sutton-Brown (17)	Catchings (15)	Bevilaqua (4)	Conseco Fieldhouse 6,579	8-2
11	June 16	@ Detroit	W 77-67	Catchings (26)	Catchings (14)	Whitmore (4)	Palace of Auburn Hills 8,812	9-2
12	June 22	Connecticut	L 78-74	White , Whitmore (15)	Catchings (12)	Catchings (7)	Conseco Fieldhouse 7,240	9-3
13	June 24	@ New York	W 74-63	Catchings (18)	Sutton-Brown (7)	Catchings (6)	Madison Square Garden 7,554	10-3
14	June 29	@ Connecticut	L 72-67	Whitmore (13)	Catchings (11)	Sutton-Brown (5)	Mohegan Sun Arena 7,617	10-4
15	July 1	@ Washington	W 69-62	Catchings , White (14)	White (8)	Catchings (3)	Verizon Center 7,233	11-4
16	July 5	@ Los Angeles	W 57-56	Catchings (17)	Catchings (11)	Catchings (5)	Staples Center 8,262	12-4
17	July 8	Chicago	W 86-70	Catchings (16)	Catchings (7)	Catchings (1)	Conseco Fieldhouse 8,247	13-4
18	July 10	@ Houston	W 79-77	Catchings (23)	Catchings , Sutton-Brown (6)	Catchings (5)	Toyota Center 7,226	14-4
19	July 12	New York	W 79-63	White (16)	Catchings (10)	Catchings (5)	Conseco Fieldhouse 7,095	15-4
20	July 18	Chicago	W 75-74	Catchings (22)	Catchings (13)	Catchings (6)	Conseco Fieldhouse 10,542	16-4
21	July 20	Detroit	L 89-90	Sutton-Brown (16)	Catchings (8)	Catchings (7)	Conseco Fieldhouse 9,210	16-5
22	July 21	@ Chicago	L 68-65	Whitmore (26)	Bevilaqua , DeForge (5)	Bevilaqua (5)	UIC Pavilion 3,383	16-6
23	July 24	San Antonio	L 71-63 (OT)	DeForge (15)	Sutton-Brown (6)	Sam (6)	Conseco Fieldhouse 6,028	16-7
24	July 26	@ Sacramento	L 60-50	White (14)	Hoffman (8)	Bevilaqua , Hoffman , Sam , Sharp , Whitmore (2)	Arco Arena 13,320	16-8
25	July 27	@ Seattle	L 89-75	DeForge (12)	Sutton-Brown (5)	White (4)	KeyArena 8,052	16-9
26	July 29	@ Phoenix	L 80-75	White (25)	Sutton-Brown (9)	Bevilaqua (5)	US Airways Center 7,495	16-10
27	July 31	Washington	W 66-57	White (20)	Whitmore (15)	Bevilaqua (4)	Conseco Fieldhouse 6,012	17-10
28	August 4	@ Connecticut	L 84-59	Sharp (14)	Sutton-Brown (8)	Sam (4)	Mohegan Sun Arena 9,493	17-11
29	August 5	Sacramento	W 63-55	Whitmore (16)	Hoffman , Sutton-Brown , White (6)	Bevilaqua , DeForge (4)	Conseco Fieldhouse 6,645	18-11
30	August 7	@ Chicago	W 75-70 (2OT)	DeForge (16)	DeForge (9)	White (5)	UIC Pavilion 5,029	19-11
31	August 11	@ Detroit	L 74-69	White (15)	DeForge (7)	White (4)	Palace of Auburn Hills 10,857	19-12
32	August 15	Connecticut	L 77-74	DeForge (29)	Sutton-Brown (10)	White (4)	Conseco Fieldhouse 6,433	19-13
33	August 17	@ San Antonio	W 59-55	Whitmore (12)	Sam (7)	Sharp (3)	AT&T Center 8,952	20-13
