City	Country	IATA	ICAO	Airport
Abu Dhabi	United Arab Emirates	AUH	OMAA	Abu Dhabi International Airport
Adelaide	Australia	ADL	YPAD	Adelaide Airport
Alor Setar	Malaysia	AOR	WMKA	Sultan Abdul Halim Airport
Bacolod	Philippines	BCD	RPVB	Bacolod-Silay International Airport
Balikpapan	Indonesia	BPN	WALL	SAMS Airport
Banda Aceh	Indonesia	BTJ	WITT	Sultan Iskandar Muda International Airport
Bandar Seri Begawan	Brunei	BWN	WBSB	Brunei International Airport
Bandung	Indonesia	BDO	WICC	Husein Sastranegara International Airport
Bangalore	India	BLR	VOBL	Bengaluru International Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Bangkok	Thailand	DMK	VTBD	Don Mueang International Airport
Batam	Indonesia	BTH	WIDD	Hang Nadim Airport
Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Bintulu	Malaysia	BTU	WBGB	Bintulu Airport
Busan	South Korea	PUS	RKPK	Gimhae International Airport
Cagayan De Oro	Philippines	CGY	RP02	Laguindingan International Airport
Cebu	Philippines	CEB	RPVM	Mactan-Cebu International Airport
Chengdu	China	CTU	ZUUU	Chengdu Shuangliu International Airport
Chennai	India	MAA	VOMM	Chennai International Airport
Chiang Mai	Thailand	CNX	VTCC	Chiang Mai International Airport
Chiang Rai	Thailand	CEI	VTCT	Mae Fah Luang International Airport
Chongqing	China	CKG	ZUCK	Chongqing Jiangbei International Airport
Christchurch	New Zealand	CHC	NZCH	Christchurch International Airport
Clark	Philippines	CRK	RPLC	Clark International Airport
Colombo	Sri Lanka	CMB	VCBI	Bandaranaike International Airport
Da Nang	Vietnam	DAD	VVDN	Da Nang International Airport
Darwin	Australia	DRW	YPDN	Darwin International Airport
Davao	Philippines	DVO	RPMD	Francisco Bangoy International Airport
Delhi	India	DEL	VIDP	Indira Gandhi International Airport
Denpasar	Indonesia	DPS	WADD	Ngurah Rai International Airport
