Title	Series	Director	Release date	reissue?
Bugs' Bonnets	MM	Chuck Jones	1956-01-14	No
Too Hop To Handle	LT	Robert McKimson	1956-01-28	No
Weasel Stop	MM	Robert McKimson	1956-02-11	Yes
The High and the Flighty	MM	Robert McKimson	1956-02-18	Yes
Broom-Stick Bunny	LT	Chuck Jones	1956-02-25	No
Rocket Squad	MM	Chuck Jones	1956-03-10	No
Tweet and Sour	LT	Friz Freleng	1956-03-24	No
Heaven Scent	MM	Chuck Jones	1956-03-31	No
Mixed Master	LT	Robert McKimson	1956-04-14	No
Rabbitson Crusoe	LT	Friz Freleng	1956-04-28	No
Gee Whiz-z-z-z-z-z-z	LT	Charles M. Jones	1956-05-05	No
Tree Cornered Tweety	MM	Friz Freleng	1956-05-19	No
The Unexpected Pest	MM	Robert McKimson	1956-06-02	No
Napoleon Bunny-Part	MM	Friz Freleng	1956-06-16	No
Tugboat Granny	MM	Friz Freleng	1956-06-23	No
Stupor Duck	LT	Robert McKimson	1956-07-07	No
Barbary Coast Bunny	LT	Chuck Jones	1956-07-21	No
Rocket-bye Baby	MM	Chuck Jones	1956-08-04	No
Half-Fare Hare	MM	Robert McKimson	1956-08-18	No
Raw! Raw! Rooster!	LT	Robert McKimson	1956-08-25	Yes
The Slap-Hoppy Mouse	MM	Robert McKimson	1956-09-01	No
A Star Is Bored	LT	Friz Freleng	1956-09-15	No
Deduce, You Say!	LT	Chuck Jones	1956-09-29	No
Yankee Dood It	MM	Friz Freleng	1956-10-13	Yes
Wideo Wabbit	MM	Robert McKimson	1956-10-27	No
There They Go-Go-Go!	LT	Chuck Jones	1956-11-10	No
Two Crows from Tacos	MM	Friz Freleng	1956-11-24	No
The Honey-Mousers	LT	Robert McKimson	1956-12-08	No
To Hare Is Human	MM	Chuck Jones	1956-12-15	No
