Edition	Class	Legs	In-Port Races	Entries	Start	Finish	Winning yacht	Winning skipper
1973–74	(–m)	4	0	17	Portsmouth	Portsmouth	Sayula II	Ramón Carlin
1977–78	(–m)	4	0	15	Portsmouth	Portsmouth	Flyer	Conny van Rietschoten
1981–82	(–m)	4	0	29	Portsmouth	Portsmouth	Flyer II	Conny van Rietschoten
1985–86	(–m)	4	0	15	Portsmouth	Portsmouth	L'Esprit d'Equipe	Lionel Péan
1989–90	(–m)	6	0	23	Southampton	Southampton	Steinlager 2	Peter Blake
1993–94	ft (m) ketchs & Whitbread 60	6	0	14	Southampton	Southampton	NZ Endeavour	Grant Dalton
1997–98	Whitbread 60	9	0	10	Southampton	Southampton	EF Language	Paul Cayard
2001–02	Whitbread 60	10	0	8	Southampton	Kiel	Illbruck Challenge	John Kostecki
2005–06	Volvo Open 70	9	7	7	Vigo	Gothenburg	ABN Amro I	Mike Sanderson
2008–09	Volvo Open 70	10	7	8	Alicante	Saint Petersburg	Ericsson 4	Torben Grael
2011–12	Volvo Open 70	9	10	6	Alicante	Galway	Groupama 4	Franck Cammas
2014–15	Volvo One-Design	10	TBC	TBC	Alicante	Gothenburg	TBD	TBD
