#	Player	Country	Score	To par	Points	Winnings ($)
1	Steve Stricker	United States	67-67-65-69=268	-16	9000	1260000
2	K.J. Choi	South Korea	64-66-70-70=270	-14	5400	756000
3	Rory Sabbatini	South Africa	63-71-69-68=271	-13	3400	476000
T4	Mark Calcavecchia	United States	67-75-65-65=272	-12	2067	289333
T4	Ernie Els	South Africa	65-71-68-68=272	-12	2067	289333
T4	Geoff Ogilvy	Australia	68-66-69-69=272	-12	2067	289333
T7	Rich Beem	United States	64-68-69-72=273	-11	1613	225750
T7	Phil Mickelson	United States	67-70-69-67=273	-11	1613	225750
T9	Robert Garrigus	United States	70-70-68-66=274	-10	1350	189000
T9	Jerry Kelly	United States	67-70-69-68=274	-10	1350	189000
