Nat.	Name	Since	Goals	Ends	Transfer fee
ESP	Iker Casillas ( VC )	1999	0	2017	Youth system
ESP	Jordi Codina	2007	0	2010	Youth system
POL	Jerzy Dudek	2007	0	2009	Free
ITA	Fabio Cannavaro	2006	2	2009	€ 10M
POR	Pepe	2007	0	2012	€ 30M
GER	Christoph Metzelder	2007	0	2010	Free
ESP	Sergio Ramos	2005	22	2013	€ 27M
ESP	Míchel Salgado ( VC )	1999	5	2009	€ 11M
ESP	Miguel Torres	2007	0	2012	Youth system
ARG	Gabriel Heinze	2007	3	2011	€ 12M
BRA	Marcelo	2007 (Winter)	4	2012	€ 6.5M
FRA	Lassana Diarra	2009 (Winter)	0	2013	€ 20M
ARG	Fernando Gago	2007 (Winter)	1	2012	€ 20M
MLI	Mahamadou Diarra	2006	4	2011	€ 26M
ESP	Javi García	2004	0	2012	€ 4M
ESP	Rubén de la Red	2004	3	2011	€ 4.7M
ESP	Guti ( VC )	1995	77	2010	Youth system
ESP	Dani Parejo	2009 (Winter)	0	2011	Youth system
NED	Wesley Sneijder	2007	11	2012	€ 27M
NED	Rafael van der Vaart	2008	5	2013	€ 13M
NED	Royston Drenthe	2007	4	2012	€ 13M
FRA	Julien Faubert	2009 (Winter)	0	2009	Loan
NED	Arjen Robben	2007	13	2012	€ 36M
ARG	Gonzalo Higuaín	2007 (Winter)	35	2013	€ 13M
ESP	Raúl ( captain )	1994	316	2011	Youth system
ARG	Javier Saviola	2007	7	2011	Free
NED	Ruud van Nistelrooy	2006	63	2010	€ 15M
NED	Klaas-Jan Huntelaar	2009 (Winter)	8	2013	€ 20M
ESP	Alberto Bueno	2008	1	Undisclosed	Youth system
ESP	Miquel Palanca	2008	0	Undisclosed	Youth system
URU	Gary Kagelmacher	2008	0	Undisclosed	Youth system
ESP	Marcos Tébar	2008	0	Undisclosed	Youth system
