No. in series	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
1	" Pilot "	Andy Ackerman	Kari Lizer	March13,2006	12.36
2	"Supertramp"	Andy Ackerman	Teleplay: Jeff Astrof Story: Kari Lizer	March13,2006	15.09
3	"Open Water"	Andy Ackerman	Adam Barr	March20,2006	15.13
4	"One Toe Over the Line, Sweet Jesus"	Andy Ackerman	Adam Barr	March27,2006	11.96
5	"I'll Show You Mine"	Andy Ackerman	Steve Baldikoski & Bryan Behar	April3,2006	8.28
6	"The Other F Word"	Andy Ackerman	Jeff Astrof	April10,2006	11.42
7	"Long Days Journey Into Stan"	Andy Ackerman	Danielle Evenson	April17,2006	11.38
8	"Teach Your Children Well"	Andy Ackerman	Katie Palmer	April24,2006	11.81
9	"Ritchie Has Two Mommies"	Andy Ackerman	Kari Lizer	May1,2006	11.92
10	"No Fault Divorce"	Andy Ackerman	Jeff Astrof & Adam Barr and Kari Lizer	May8,2006	11.87
