Constituency	Winner	Party	Margin	Runner-up a	Party a
Madras North	Krishnan Manoharan	DMK	51594	S. G. Vinayaga Moorthy	NCO
Madras South	Murasoli Maran	DMK	20341	Narasimhan	SWA
Sriperumbudur (SC)	T. S. Lakshmanan	DMK	100046	P. Kakkan	NCO
Chengalpattu	C. Chitti Babu	DMK	118756	P. M. Muthukumarappa	NCO
Tiruttani	O. V. Alagesa Mudaliar	INC	84105	P. Ramachandran	NCO
Vellore (SC)	R. P. Ulaganambi	DMK	85321	T. Manavalan	NCO
Tiruppattur	C. K. Chinnaraji Gounder	DMK	55063	N. Parthasarathy	SWA
Vandavasi	G. Viswanathan	DMK	87955	A. Krishnaswamy	NCO
Tindivanam	M. R. Lakshmi Narayanan	INC	61475	M. P. Radhakrishnan	SWA
Cuddalore	S. Radhakrishnan	INC	36487	R. Muthukumaran	NCO
Chidambaram (SC)	V. Mayavan	DMK	22398	L. Elaya Perumal	NCO
Kallakurichi	M. Deiveekan	DMK	21976	K. Veerasamy	NCO
Krishnagiri	T. Thirthagiri Gounder	INC	34920	T. M. Thirupathy	SWA
Salem	E. R. Krishnan	DMK	54796	M. P. Subramanyam	NCO
Mettur	G. Bhuvarahan	INC	66140	K. Ramamurthy	NCO
Tiruchengode	M. Muthusami	DMK	60047	T. M. Kaliannan	NCO
Nilgiris	J. Matha Gowder	DMK	61094	Akkamma Devi	NCO
Coimbatore	K. Balathandayutham	CPI	77053	Ramaswamy	NCO
Pollachi	Narayanan	DMK	126206	K. R. Nallasivam	SSP
Dharapuram (SC)	C. T. Dhandapani	DMK	116186	K. Paramalai	NCO
Gobichettipalayam	P. A. Saminathan	DMK	60492	E. V. K. Sampath	NCO
Periyakulam	S. M. Mohammad Sheriff	IND/ IUML	41925	H. Ajmal Khan	SWA
Dindigul	M. Rajangam	DMK	97635	M. Cheemachamy	SWA
Madurai	R. V. Swaminathan	INC	72359	S. Chinnakaruppa Thevar	NCO
Karur	K. Gopal	INC	73293	V. Ramanathan	NCO
Tiruchirappalli	M. Kalyanasundaram	CPI	20550	S. P. Thangavelu	NCO
Perambalur (SC)	A. Durairaju	DMK	61569	M. Ayyakannu	NCO
Pudukkottai	K. Veeriah	DMK	48395	R. Vijaya Raghunatha Thondaiman	NCO
Kumbakonam	Era Sezhiyan	DMK	38753	C. R. Ramasamy	NCO
Mayuram	K. Subravelu	DMK	66373	K. Rajangam	NCO
Nagapattinam	M. Kathamuthu	CPI	87727	V. Sabasivam	NCO
Thanjavur	S. D. Somasundaram	DMK	100008	R. Krishnasamy Gopalar	NCO
Sivaganga	Tha. Kiruttinan	DMK	100008	Kannappa Valliappan	NCO
Ramanathapuram	P. K. Mookiah Thevar	FBL	69155	S. Balakrishnan	NCO
Sivakasi	V. Jeyalakshmi	INC	85662	R. Gopalakrishnan	SWA
Tirunelveli	S. A. Muruganantham	CPI	59937	S. Palaniswaminathan	SWA
Tenkasi (SC)	A. M. Chellachami	INC	68910	R. S. Arumugam	NCO
Tiruchendur	M. S. Sivasamy	DMK	26	M. Mathias	SWA
