Rank	City	Height	Stories	Completed
1	Mexico City	m (ft)	55	2003
2	Mexico City	m (ft)	54	1982
3	Guadalajara	m (ft)	44	2011
4	Mexico City	m (ft)	44	1998
=5	Mexico City	m (ft)	45	1956
=5	Monterrey	m (ft)	43	2000
7	Monterrey	m (ft)	36	2010
8	Mexico City	m (ft))	52	1994
9	Guadalajara	m (ft)	44	2007
=10	Mexico City	m (ft)	33	1996
=10	Mexico City	m (ft)	34	2008
12	Monterrey	m (ft)	33	2011
13	Mexico City	m (ft)	40	2010
14	Mexico City	150.1m (492ft)	32	2008
15	Mexico City	m (ft)	31	2009
16	Mexico City	149.1m (489ft)	32	2008
17	Mexico City	m (ft)	32	1986
18	Mexico City	m (ft)	37	2005
