Model	Engine make/Capacity	Power kW@rpm	Torque Nm@rpm	GVM (kg) Technical Capacity	GCM (kg) Technical Capacity
Model	Engine make/Capacity	Power kW@rpm	Torque Nm@rpm	GVM (kg) Technical Capacity	GCM (kg) Technical Capacity
8.120	MWM 4.10-TCA-EURO III (Turbo Intercooler)	84.6 @ 2400	400 @ 1600	7700	10500
8.150E	Cummins Interact 4.0-EURO III (Turbo Intercooler)	110 @ 2500	550 @ 1400 - 1700	8150	11000
13.170E	MWM 4.10-TCA-EURO III (Turbo Intercooler)	125 @ 25000	600 @ 1200 - 1600	12900	23000
13.180	MWM 6.10 TCA-EURO III (Turbo Intercooler)	127 @ 2400	600 @ 1700	13000	23000
13.180E	MWM 4.12 TCE-EURO III (Turbo Intercooler)	132 @ 2200	600 @ 1600 - 2000	12900	23000
15.170E	Cummins Interact 4.0-EURO III (Turbo Intercooler)	125 @ 2500	600 @ 1200 - 1600	14500	27000
15.180	MWM 6.10 TCA-EURO III (Turbo Intercooler)	127 @ 2400	600 @ 1700	14500	27000
15.180E	MWM 4.12 TCE-EURO III (Turbo Intercooler)	132 @ 2200	600 @ 1600 - 2000	14500	27000
17.180	MWM 6.10 TCA-EURO III (Turbo Intercooler)	127 @ 2400	600 @ 1700	16000	28800
17.220	Cummins C8.3215 P5-0-EURO III (Turbo Intercooler)	160 @ 2200	888 @ 1400	16000	35000
17.250E	Cummins Interact 6.0-EURO III (Turbo Intercooler)	184 @ 2500	950 @ 1200 - 1700	16000	35000
24.220	Cummins C8.3215 P5-0-EURO III (Turbo Intercooler)	160 @ 2200	888 @ 1400	23000	35000
24.250E	Cummins Interact 6.0-EURO III (Turbo Intercooler)	184 @ 2500	950 @ 1200 - 1700	23000	35000
26.220	Cummins C8.3215 P5-0-EURO III (Turbo Intercooler)	160 @ 2200	888 @ 1400	23000	35000
26.260E	MWM 6.12TCAE-EURO III (Turbo Intercooler)	191 @ 2500	900 @ 1300 - 1900	23000	42000
31.260E	MWM 6.12 TCAE-EURO III	191 @ 2500	900 @ 1300 - 1900	23000	42000
