Team	Chassis	Engine	Tires	Drivers
Newman/Haas Racing	Lola	Chevrolet	G	Mario Andretti
Patrick Racing	March / Lola	Chevrolet	G	Emerson Fittipaldi
Galles Racing	March	Chevrolet / Cosworth	G	Al Unser, Jr.
Team Penske	Penske	Chevrolet	G	Rick Mears
Team Penske	Penske	Chevrolet	G	Danny Sullivan
Team Penske	Penske	Chevrolet	G	Al Unser
Porsche North America	March	Porsche	G	Teo Fabi
Truesports	Lola	Judd / Cosworth	G	Bobby Rahal
Kraco Racing	March / Lola	Cosworth	G	Michael Andretti
Doug Shierson Racing	March / Lola	Cosworth	G	Raul Boesel
Raynor Racing	Lola	Cosworth	G	Derek Daly
Arciero Racing	March	Cosworth	G	John Jones
Granatelli Racing	Lola / March	Cosworth / Chevrolet	G	Roberto Guerrero
Granatelli Racing	Lola / March	Cosworth / Chevrolet	G	Al Unser
Granatelli Racing	Lola / March	Cosworth / Chevrolet	G	Gordon Johncock
Machinists Union Racing	March	Cosworth	G	Kevin Cogan
Machinists Union Racing	March	Cosworth	G	Scott Pruett
Machinists Union Racing	March	Cosworth	G	Scott Atchison
Machinists Union Racing	March	Cosworth	G	Rich Vogler
Machinists Union Racing	March	Buick	G	Pancho Carter
Dick Simon Racing	Lola	Cosworth	G	Arie Luyendyk
Dick Simon Racing	Lola	Cosworth	G	Dick Simon
Dick Simon Racing	Lola	Cosworth	G	Scott Pruett
Dick Simon Racing	Lola	Cosworth	G	Didier Theys
Dick Simon Racing	Lola	Cosworth	G	Fulvio Ballabio
Dick Simon Racing	Lola	Cosworth	G	Tero Palmroth
Dick Simon Racing	Lola	Cosworth	G	Jean-Pierre Frey
A. J. Foyt Enterprises	Lola	Cosworth	G	A. J. Foyt
A. J. Foyt Enterprises	Lola	Cosworth	G	Johnny Rutherford
A. J. Foyt Enterprises	Lola	Cosworth	G	Johnny Parsons
A. J. Foyt Enterprises	March	Cosworth	G	Rocky Moran
A. J. Foyt Enterprises	March	Chevrolet	G	Stan Fox
Bettenhausen Motorsports	Lola / March	Cosworth / Judd	G	Tony Bettenhausen, Jr.
Bettenhausen Motorsports	Lola / March	Cosworth / Judd	G	Dennis Vitolo
Alex Morales Motorsports	March	Cosworth	G	Howdy Holmes
Hemelgarn Racing	Lola	Judd / Cosworth / Buick	G	Scott Brayton
Hemelgarn Racing	Lola	Judd / Cosworth / Buick	G	Ludwig Heimrath
Hemelgarn Racing	Lola	Judd / Cosworth / Buick	G	Ken Johnson
Hemelgarn Racing	Lola	Judd / Cosworth / Buick	G	Tom Sneva
Gohr Racing	March	Cosworth	G	Rocky Moran
Gohr Racing	March	Cosworth	G	Billy Vukovich III
Bernstein Racing	Lola	Buick	G	Jim Crawford
Bernstein Racing	Lola	Buick	G	Johnny Rutherford
Curb Racing	Lola	Cosworth	G	John Andretti
Gary Trout Motorsports	March	Cosworth	G	Steve Chassey
Gary Trout Motorsports	March	Cosworth	G	Ed Pimm
Leader Card Racing	Lola	Cosworth	G	Randy Lewis
Leader Card Racing	Lola	Cosworth	G	Dominic Dobson
Dobson Motorsports	Lola	Cosworth	G	Dominic Dobson
Dale Coyne Racing	March	Chevrolet	G	Dale Coyne
Dale Coyne Racing	March	Chevrolet	G	Dominic Dobson
Los Angeles Drywall	March	Cosworth	G	Dick Ferguson
Los Angeles Drywall	March	Cosworth	G	Ed Pimm
KargoStopper	Lola	Cosworth	G	Darin Brassfield
BDR Racing	March	Cosworth	G	Steve Bren
Andale Racing	March	Cosworth	G	Bernard Jourdain
U.S. Engineering	March	Cosworth	G	Phil Krueger
Kent Baker Racing	March	Cosworth	G	Phil Krueger
Scheid Tire Centers	March	Cosworth	G	Gary Bettenhausen
Calumet Farms	March	Chevrolet	G	George Snider
GF Racing	March	Cosworth	G	Giupponi Franca
GF Racing	March	Cosworth	G	José Romano
Indiana Carbon	March	Cosworth	G	Spike Gehlhausen
Mergard	March	Cosworth	G	Harry Sauce
Performers, Inc.	March	Cosworth	G	Tom Bigelow
