Year	English title	Original title	Country	Director
2000	Crouching Tiger, Hidden Dragon	臥虎藏龍 Wo hu cang long	Taiwan	Ang Lee
2001	Love's a Bitch	Amores perros	Mexico	Alejandro González Iñárritu
2002	And Your Mother Too	Y tu mamá también	Mexico	Alfonso Cuarón
2003	The Triplets of Belleville	Les triplettes de Belleville	Belgium/Canada/France	Sylvain Chomet
2004	House of Flying Daggers	十面埋伏 Shi mian mai fu	China/Hong Kong	Zhang Yimou
2005	Kung Fu Hustle	功夫 Kung fu	China/Hong Kong	Stephen Chow
2006	Pan's Labyrinth	El laberinto del fauno	Mexico/Spain/USA	Guillermo del Toro
2007	The Diving Bell and the Butterfly	Le scaphandre et le papillon	France/USA	Julian Schnabel
2008	Let the Right One In	Låt den rätte komma in	Sweden	Tomas Alfredson
2009	Summer Hours	L'heure d'été	France	Olivier Assayas
