Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Steve Butler	Maidstone United	26	0	0	1	27
Mark Gall	Maidstone United	26	2	0	1	29
Chris Camden	Stafford Rangers	23	9	0	2	34
Mark Carter	Runcorn	23	0	0	1	24
Ken Charlery	Maidstone United	22	4	0	0	26
Steve Burr	Macclesfield Town	21	0	5	0	26
Don Page	Runcorn	21	1	0	3	25
Paul Davies	Kidderminster Harriers	20	1	0	4	25
Lenny Dennis	Sutton United	20	3	1	5	29
Mark West	Wycombe Wanderers	20	4	2	0	26
Ronnie Ellis	Altrincham	18	2	0	0	20
Derrick Parker	Northwich Victoria	18	2	2	0	22
Phil Power	Chorley	16	1	0	0	17
Guy Whittingham	Yeovil Town	16	0	0	0	16
Chris Cook	Boston United	15	6	1	1	23
Dean Neal	Fisher Athletic	15	6	0	0	21
Paul Wilson	Boston United	15	5	1	0	21
Frank Murphy	Barnet	14	2	0	2	18
Malcolm O'Connor	Northwich Victoria	14	6	1	1	22
Gary Abbott	Enfield	13	4	1	0	18
Phil Derbyshire	Macclesfield Town	13	0	0	0	13
Ernie Moss	Kettering Town	13	1	3	0	17
