Team	# appearances	years (won in bold)	# wins	# runner-up	Most recent final
Standard Liège	7	1981, 1982, 1983, 1993, 2008 , 2009 , 2011	4	3	2011 , lost to Genk 1-0
Beveren	2	1979, 1980, 1983, 1984	2	2	1984, beat Gent 5-1
Lierse	2	1997, 1999	2	0	1999, beat Genk 3-1
Genk	7	1998, 1999, 2000, 2002, 2009 , 2011 , 2013	1	6	2013 , lost to Anderlecht 1-0
Waregem	1	1982	1	0	1982, beat Standard 3-2
Cercle Brugge	2	1985, 1996	0	2	1996, lost to Club Brugge 5-1
Gent	2	1984, 2010	0	2	2010 , lost to Anderlecht 1-0
Beerschot VAC	1	1979	0	1	1979, lost to Beveren 1-1 ( pen. 3-2)
KV Mechelen	1	1987, 1989	0	1	1987, lost to Anderlecht 1-1 at home, 2-0 away
RFC Liège	1	1990	0	1	1990, lost to Club Brugge 2-2 ( pen. 7-6)
Antwerp	1	1992	0	1	1992, lost to Club Brugge 1-1 ( pen. 4-1)
Westerlo	1	2001	0	1	2001, lost to Anderlecht 4-1
La Louvière	1	2003	0	1	2003, lost to Club Brugge 1-1 ( pen. 5-4)
Zulte Waregem	1	2006	0	1	2006 , lost to Anderlecht 3-1
