Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner-up	October 5, 2008	Troy , United States	Hard	Angela Haynes	Raquel Kops-Jones Abigail Spears	6–2, 6–0
Winner	May 11, 2008	Zagreb , Croatia	Clay	Melinda Czink	Stéphanie Foretz Jelena Kostanić Tošić	6–4, 6–2
Runner-up	March 14, 2008	New Delhi , India	Hard	Aurélie Védy	Ji Chunmei Sun Shengnan	2–6, 6–2, [10–4]
Winner	June 17, 2007	Allentown , United States	Hard	Ryoko Fuda	Angela Haynes Lindsay Lee-Waters	6–7 (3-7) , 6–4, 6–1
Winner	June 2, 2007	Carson , United States	Hard	Kim Grant	Angela Haynes Lindsay Lee-Waters	6–4, 6–4
Runner-up	January 20, 2007	Fort Walton Beach , United States	Hard	Marie-Ève Pelletier	Angelika Bachmann Tetiana Luzhanska	5–7, 7–6 (9-7) , 7–6 (7-4)
Winner	October 15, 2006	Melbourne , Australia	Hard	Casey Dellacqua	Daniella Dominikovic Evie Dominikovic	6–3, 6–2
Runner-up	October 8, 2006	Traralgon , Australia	Hard	Casey Dellacqua	Christina Horiatopoulos Raquel Kops-Jones	6–2, 7–6 (7-5)
Runner-up	July 23, 2006	Hammond , United States	Hard	Ryoko Fuda	Christina Fusano Raquel Kops-Jones	7–6 (7-3) , 4–6, 6–1
Winner	May 7, 2006	Charlottesville , United States	Clay	Marie-Ève Pelletier	Maria Fernanda Alves Lilia Osterloh	6–7 (6-8) , 6–2, 6–3
Winner	November 27, 2005	Mount Gambier , Australia	Hard	Ryoko Fuda	Gréta Arn Anastasia Rodionova	6–1, ret.
Winner	November 13, 2005	Port Pirie , Australia	Hard	Gréta Arn	Monique Adamczak Christina Horiatopoulos	6–4, 3–6, 6–2
Winner	November 14, 2004	Port Pirie , Australia	Hard	Casey Dellacqua	Daniella Dominikovic Evie Dominikovic	4–6, 6–3, 7–6 (8-6)
Runner-up	May 16, 2004	Charlottesville , United States	Clay	Vilmarie Castellvi	Erica Krauth Jessica Lehnhoff	6–0, 6–1
Runner-up	January 18, 2004	Tampa , United States	Hard	Milangela Morales	Alisa Kleybanova Mayumi Yamamoto	6–2, 6–4
