Pick #	Player	Position	Nationality	NHL team	College/junior/club team
63	Frank Pietrangelo	Goaltender	Canada	Pittsburgh Penguins	University of Minnesota (WCHA)
64	Dave MacLean	Right Wing	Canada	Hartford Whalers	Belleville Bulls (OHL)
65	Mikko Makela	Right Wing	Finland	New York Islanders	Ilves Tampere (Finland)
66	John Bekkers	Centre	Canada	Calgary Flames	Regina Pats (WHL)
67	Guy Benoit	Centre	Canada	Los Angeles Kings	Shawinigan Cataractes (QMJHL)
68	Dave Korol	Defence	Canada	Detroit Red Wings	Winnipeg Warriors (WHL)
69	Bob Essensa	Goaltender	Canada	Winnipeg Jets	Henry Carr Crusaders (MetJHL)
70	Tim Lorenz	Left Wing	Canada	Vancouver Canucks	Portland Winter Hawks (WHL)
71	Kevan Guy	Defence	Canada	Calgary Flames	Medicine Hat Tigers (WHL)
72	Ron Chyzowski	Centre	Canada	Hartford Whalers	St. Albert Saints (AJHL)
73	Peter Andersson	Defence	Sweden	New York Rangers	Orebro (Sweden)
74	Daren Puppa	Goaltender	Canada	Buffalo Sabres	Kirkland Lake Midget All-Stars (COAAAMHL)
75	Tim Bergland	Centre	United States	Washington Capitals	Thief River Falls High School (USHS-MN)
76	Brian Durand	Centre	United States	Minnesota North Stars	Cloquet High School (USHS-MN)
77	Bill Claviter	Left Wing	United States	Calgary Flames	Virginia High School (USHS-MN)
78	John Kordic	Defence	Canada	Montreal Canadiens	Portland Winter Hawks(WHL)
79	Tarek Howard	Defence	Canada	Chicago Black Hawks	Olds Grizzlys (AJHL)
80	Esa Tikkanen	Left Wing	Finland	Edmonton Oilers	HIFK Helsinki (Finland)
81	Allen Bourbeau	Centre	United States	Philadelphia Flyers	Acton-Boxborough High School (USHS-MA)
82	Allan LaRochelle	Goaltender	Canada	Boston Bruins	Saskatoon Blades (WHL)
