Place	Player	Country	Score	To par	Money ( $ )
1	Gary Player	South Africa	71-71-66-70=278	–10	35,000
T2	Dave Stockton	United States	71-66-70-73=280	–8	21,250
T2	Tom Weiskopf	United States	71-69-70-70=280	–8	21,250
T4	Jim Colbert	United States	67-72-69-73=281	–7	10,833
T4	Hale Irwin	United States	68-70-72-71=281	–7	10,833
T4	Jack Nicklaus	United States	69-71-72-69=281	–7	10,833
T7	Bobby Nichols	United States	73-68-68-73=282	–6	4,750
T7	Phil Rodgers	United States	72-69-68-73=282	–6	4,750
T9	Maurice Bembridge	England	73-74-72-64=283	–5	3,900
T9	Hubert Green	United States	68-70-74-71=283	–5	3,900
