Year Location	Mens Singles	Womens Singles	Mens Doubles	Womens Doubles
2012 Santos	Oh Sang-Eun	Kim Kyung-Ah	Oh Sang-Eun Ryu Seung-Min	Li Jiawei Wang Yuegu
2011 Rio de Janeiro	Dimitrij Ovtcharov	Wang Yuegu	Lars Hielscher Bastian Steger	Li Jiawei Wang Yuegu
2008 Belo Horizonte	Jiang Tianyi	Wang Yuegu	Kim Jung-Hoon Yoon Jae-Young	Kim Kyung-Ah Park Mi-Young
2007 Belo Horizonte	Yo Kan	Tie Ya Na	Cho Eon-Rae Ko Junhyung	Tie Ya Na Zhang Rui
2006 São Paulo	Cho Eon-Rae	Haruna Fukuoka	Tiago Apolónia Joao Monteiro	Lee Eun-Sil Moon Hyun-Jung
2005 Rio de Janeiro	Adrian Crişan	Kim Kyung-Ah	Pär Gerell Jens Lundqvist	Tanja Hain-Hofmann Georgina Póta
2004 Rio de Janeiro	Vladimir Samsonov	Liu Jia	Peter Franz Jens Lundqvist	Csilla Bátorfi Krisztina Tóth
2003 Rio de Janeiro	Chuang Chih-yuan	Tie Yana	Ko Lai Chak Li Ching	Lin Ling Zhang Rui
2002 São Paulo	Werner Schlager	Aya Umemura	Karl Jindrak Werner Schlager	Lee Eun-Sil Suk Eun-Mi
2001 São Paulo	Timo Boll	Aya Umemura	Karl Jindrak Werner Schlager	Lee Eun-Sil Shin Soo-Hee
2000 Rio de Janeiro	Liu Guoliang	Wang Nan	Kong Linghui Liu Guoliang	Kim Moo-Kyo Ryu Ji-Hae
1999 Rio de Janeiro	Zoran Primorac	Chen Jing	Zoran Primorac Jean-Michel Saive	Anne Boileau Anne-Sophie Gourin
1997 Rio de Janeiro	Liu Guoliang	Ryu Ji-Hae	Kong Linghui Liu Guoliang	Lee Eun-Sil Ryu Ji-Hae
