Rank	Heat	Name	Nationality	Time
1	1	David Payne	United States	13.19
2	3	Dayron Robles	Cuba	13.21
3	2	Terrence Trammell	United States	13.23
4	1	Shi Dongpeng	China	13.24
5	3	Liu Xiang	China	13.25
6	1	Maurice Wignall	Jamaica	13.29
7	1	Jackson Quiñónez	Spain	13.33
8	2	Serhiy Demydyuk	Ukraine	13.35
9	2	Ladji Doucouré	France	13.36
10	2	Yoel Hernández	Cuba	13.37
11	3	Andy Turner	United Kingdom	13.38
12	3	David Oliver	United States	13.42
13	1	Anselmo da Silva	Brazil	13.53
14	1	Robert Kronberg	Sweden	13.58
14	3	Gregory Sedoc	Netherlands	13.58
14	3	Masato Naito	Japan	13.58
17	2	Xing Yanan	China	13.59
18	2	Tasuku Tanonaka	Japan	13.62
19	3	Jared MacLeod	Canada	13.66
20	1	Adrien Deghelt	Belgium	13.70
21	3	Thomas Blaschek	Germany	13.77
22	2	Staņislavs Olijars	Latvia	13.78
23	1	Dudley Dorival	Haiti	13.82
24	2	Ryan Brathwaite	Barbados	13.87
