Year	Game	Genre	Platform(s)	Developer(s)
2001	Super Smash Bros. Melee	Fighting	GameCube	HAL Laboratory, Inc
2002	Metroid Prime	( First-Person ) Action-Adventure	GameCube	Retro Studios , Nintendo
2003	The Legend of Zelda: Wind Waker	Action-Adventure	GameCube	Nintendo EAD Software Development Group No. 3
2004	Halo 2	( First-Person ) Shooter	Xbox	Bungie
2005	Resident Evil 4	Survival Horror : ( Third-Person ) Shooter	GameCube	Capcom Production Studio 4
2006	The Legend of Zelda: Twilight Princess	Action-Adventure	Wii , GameCube	Nintendo EAD Software Development Group No. 3
2007	Super Mario Galaxy	Platformer	Wii	Nintendo EAD Tokyo Development Group
2008	Metal Gear Solid 4: Guns of the Patriots	Stealth Action	PlayStation 3	Kojima Productions
2009	Uncharted 2: Among Thieves	Action-Adventure : ( Third-Person ) Shooter	PlayStation 3	Naughty Dog
2010	Mass Effect 2	Action RPG : ( Third-Person ) Shooter	Xbox 360 , Windows , PlayStation 3	BioWare
2011	The Legend of Zelda: Skyward Sword	Action-Adventure	Wii	Nintendo EAD , Monolith Soft
2012	Borderlands 2	Action RPG / First-Person Shooter	Xbox 360 , PlayStation 3 , Windows	Gearbox Software
