Year	Network	Title	Notes	Language
2007	SBS	Star King	Guest	Korean
2008	CCTV	勇往直前	Guest	Mandarin Chinese
2009	CTV	Variety Big Brother	Guest	Mandarin Chinese
2009	HBS	Happy Camp	Guest	Mandarin Chinese
2009	SBS	Star King	Guest	Korean
2011	SBS	Strong Heart	Guest	Korean
2011	CCTV	开心歌迷汇	Guest	Mandarin Chinese
2011	CTV	Variety Big Brother	Guest	Mandarin Chinese
2013	Olive TV	MasterChef Korea Celebrity	Celebrity Participant	Korean
2013	HBS	Happy Camp	Guest	Mandarin Chinese
2013	KBS2	Happy Together	Guest	Korean
2013	KBS	Hello Counselor	Guest	Korean
2013	KBS	Mamma Mia	Guest	Korean
