Year	Title of Drama	Name of Role	Nature of Role	Co-Artists	Location
2002	Freedom of Half Grown-Ups 《 半成年主張之搞個自由式 》	Xiao Gui 小鬼	Male lead	Junior Han , Richard Rim , Ehlo Huang	Taiwan
2005	KO One 《 終極一班 》	Cai Yi-Ling 蔡一零	Cameo	Jiro Wang , Calvin Chen , Aaron Yan	Taiwan
2005	Detective Story A.S.T. 《 偵探物語 》	Ah-Jun 阿君	Cameo	Robert Fan , Matilda Tao	Taiwan
2006	Tokyo Juliet 《 東方茱麗葉 》	Lu Yi-Mi 陸一彌	Supporting role	Wu Chun , Ariel Lin	Taiwan
2006	A Child from Heaven 《 天堂來的孩子 》	Zhong Da-Gui 鍾大規	Supporting role	Lee Wei , Tammy Chen , Godfrey Gao , Sonia Sui	Taiwan
2006	Hey! Is the Water Boiled? 《喂！水開了沒?》	Ah-Zhong 阿忠	Male lead	Linda Liao , Shuqin Ke , Qiang Din	Taiwan
2007	Corner With Love 《 轉角*遇到愛 》	Ah-Yi 阿義	Supporting role	Show Luo , Barbie Hsu	Taiwan
2007	Summer x Summer 《 熱情仲夏 》	Chen Lang-Zhu 陳朗竹	Supporting role	Joe Cheng , Wu Xiong , Ethan Ruan	Taiwan
2008	Mysterious Incredible Terminator 《 霹靂MIT 》	Huang Hui-Hong 黃輝宏 (747)	Second male lead	Gui Gui , Aaron Yan , Christine Fan	Taiwan
2009	Letter 1949 《 我在1949，等你 》	Li Wen-Xiong 李文雄	Second male lead	Junzhu Dai , Youwei Lin , Hawick Lau	Taiwan China
2010	Rogue Pricipal 《 流氓校長 》	Wang Tuo-Hai 王拓海	Male Lead	Joanne Zeng , Ng Man-tat	Taiwan
2012	Joys of Life 《 花样人间 》	Zhao Ming-Xing 赵明星	Male Lead	Rui En , Chew Chor Meng , Cynthia Wang	Singapore
