Rider	Bike	Laps	Time	Grid
Rubén Xaus	Ducati 999 F06	23	37:14.606	2
Noriyuki Haga	Yamaha YZF-R1	23	+1.997	7
Troy Bayliss	Ducati 999 F07	23	+6.330	1
Troy Corser	Yamaha YZF-R1	23	+8.780	4
James Toseland	Honda CBR1000RR	23	+17.040	5
Lorenzo Lanzi	Ducati 999 F07	23	+24.272	6
Michel Fabrizio	Honda CBR1000RR	23	+25.822	9
Max Biaggi	Suzuki GSX-R1000 K7	23	+26.087	12
Josh Brookes	Honda CBR1000RR	23	+28.778	3
Roberto Rolfo	Honda CBR1000RR	23	+32.754	17
Régis Laconi	Kawasaki ZX-10R	23	+37.084	15
Max Neukirchner	Suzuki GSX-R1000 K6	23	+37.141	13
Giovanni Bussei	Ducati 999 F06	23	+37.563	11
Jakub Smrž	Ducati 999 F05	23	+38.544	20
Yukio Kagayama	Suzuki GSX-R1000 K7	23	+53.049	8
Shinichi Nakatomi	Yamaha YZF-R1	17	Retirement	18
Karl Muggeridge	Honda CBR1000RR	12	Retirement	10
Carmelo Morales	Yamaha YZF-R1	12	Retirement	16
Luca Morelli	Ducati 999RS	11	Retirement	22
Fonsi Nieto	Kawasaki ZX-10R	10	Retirement	14
Steve Martin	Honda CBR1000RR	8	Retirement	21
Christian Zaiser	MV Agusta F4 312 R	3	Retirement	19
Dean Ellison	Ducati 999RS	3	Retirement	23
