Res.	Record	Opponent	Method	Event	Round	Location
Win	12-8	Amr Wahman	TKO (punches)	SFL 4	1	Mumbai , India
Win	11-8	Quinton Arendse	KO (punches)	SFL 3	1	New Delhi , Delhi India
Loss	10-8	Joachim Hansen	Submission (armbar)	DREAM.5	1	Osaka-jo Hall , Japan
Loss	10-7	Tatsuya Kawajiri	Decision (unanimous)	DREAM.1	2	Saitama , Japan
Win	10-6	Hideo Tokoro	TKO (punches)	Hero's 9	1	Yokohama , Japan
Loss	9-6	Kazuyuki Miyata	Submission (guillotine choke)	Hero's 8	1	Nagoya , Japan
Loss	9-5	Rodrigo Damm	Submission (rear naked choke)	BodogFight - St. Petersburg	2	St. Petersburg , Russia
Loss	9-4	Caol Uno	Submission (rear naked choke)	Hero's 6	2	Tokyo , Japan
Win	9-3	Hideo Tokoro	KO (knee)	Hero's 5	1	Tokyo , Japan
Loss	8-3	Daisuke Sugie	Submission (triangle choke)	Shooto - GIG Central 8	1	Nagoya , Japan
Win	8-2	Harris Sarmiento	Submission (rear naked choke)	SB 39: Destiny	3	Hawaii , United States
Loss	7-2	Fabio Holanda	Submission (kimura)	TKO Major League MMA	1	Quebec , Canada
Win	7-1	Dave Rivas	Submission (rear naked choke)	PXC 2: Chaos	2	Guam
Win	6-1	Donald Ouimet	Submission (rear naked choke)	UCC 12: Adrenaline	1	Quebec , Canada
Win	5-1	Kevin Dolan	TKO (strikes)	Mixed Fighting Championship	1	Alberta , Canada
Win	4-1	Dave Scholten	Submission (rear naked choke)	World Freestyle Fighting 3	1	Vancouver, British Columbia , Canada
Loss	3-1	Yves Edwards	Submission (heel hook)	Shogun 1	2	Hawaii , United States
Win	3-0	Trevor Michaelis	Submission (rear naked choke)	UFCF - Everett Extreme Challenge 4	1	Everett, Washington , United States
Win	2-0	Dan Shenk	Submission (rear naked choke)	Western Freestyle Championships	1	British Columbia , Canada
Win	1-0	JR Wallace	Decision (unanimous)	Western Canada's Toughest	3	Vernon, British Columbia , Canada
