Name	Circuit	Date	Winning driver	Winning constructor	Report
Tunis Grand Prix	Carthage	29 March	Achille Varzi	Bugatti	Report
Circuit d'Esterel Plage	Saint-Raphaël	6 April	Philippe Étancelin	Bugatti	Report
Monaco Grand Prix	Monaco	19 April	Louis Chiron	Bugatti	Report
Circuito di Alessandria	Alessandria	26 April	Achille Varzi	Bugatti	Report
Targa Florio	Madonie	10 May	Tazio Nuvolari	Alfa Romeo	Report
Picardy Grand Prix	Péronne	10 May	"Ivernel"	Bugatti	Report
Casablanca Grand Prix	Anfa Circuit	17 May	Stanislas Czaykowski	Bugatti	Report
Geneva Grand Prix	Meyrin	7 June	Marcel Lehoux	Bugatti	Report
Rome Grand Prix	Littorio	7 June	Ernesto Maserati	Maserati	Report
Lviv Grand Prix	Lviv	7 June	Hans Stuck	Mercedes-Benz	Report
Eifelrennen	Nürburgring	7 June	Rudolf Caracciola	Mercedes-Benz	Report
Grand Prix de la Marne	Reims	5 July	Marcel Lehoux	Bugatti	Report
Circuit du Vaucluse	Avignon	5 July	Frédéric Toselli	Bugatti	Report
German Grand Prix	Nürburgring	19 July	Rudolf Caracciola	Mercedes-Benz	Report
Dieppe Grand Prix	Dieppe	26 July	Philippe Étancelin	Alfa Romeo	Report
Coppa Ciano	Montenero	2 August	Tazio Nuvolari	Alfa Romeo	Report
Avusrennen	AVUS	2 August	Rudolf Caracciola	Mercedes-Benz	Report
Circuit du Dauphiné	Grenoble	2 August	Philippe Étancelin	Alfa Romeo	Report
Grand Prix du Comminges	Saint-Gaudens	16 August	Philippe Étancelin	Alfa Romeo	Report
Coppa Acerbo	Pescara	16 August	Giuseppe Campari	Alfa Romeo	Report
Monza Grand Prix	Monza	6 September	Luigi Fagioli	Maserati	Report
La Baule Grand Prix	La Baule	13 September	William Grover-Williams	Bugatti	Report
Masaryk Grand Prix	Brno	27 September	Louis Chiron	Bugatti	Report
Brignoles Grand Prix	Brignoles	27 September	René Dreyfus	Bugatti	Report
Mountain Championship	Brooklands	17 October	Henry Birkin	Maserati	Report
