Order	Episode	Original airdate	Timeslot	Viewers (millions)	Nightly rank	Weekly rank
1	"All Mixed Up"	1 February 2011	Tuesday 10:30 pm – 11:00 pm	0.362	28	N/A
2	"Let Yourself Go"	1 February 2011	Tuesday 11:00 pm – 11:30 pm	0.193	42	N/A
3	"Makin' Some Noise"	8 February 2011	Tuesday 10:30 pm – 11:00 pm	0.314	29	N/A
4	"The Damage You've Done"	8 February 2011	Tuesday 11:00 pm – 11:30 pm	0.191	43	N/A
5	"Keeping Me Alive"	15 February 2011	Tuesday 10:30 pm – 11:00 pm	0.323	30	N/A
6	"You Don't Know How It Feels"	1 March 2011	Tuesday 10:30 pm – 11:00 pm	0.287	33	N/A
7	"Fooled Again (I Don't Like It)"	8 March 2011	Tuesday 10:30 pm – 11:00 pm	0.344	30	N/A
8	"Little Girl Blues"	15 March 2011	Tuesday 10:30 pm – 11:00 pm	0.286	34	N/A
9	"When the Time Comes"	22 March 2011	Tuesday 10:30 pm – 11:00 pm	0.310	32	N/A
10	"The Same Old You"	29 March 2011	Tuesday 10:30 pm – 11:00 pm	0.431	26	N/A
11	"No Reason to Cry"	29 March 2011	Tuesday 11:00 pm – 11:30 pm	0.265	38	N/A
12	"A Thing About You"	5 April 2011	Tuesday 10:30 pm – 11:00 pm	0.221	41	N/A
13	"Lost Children"	12 April 2011	Tuesday 10:30 pm – 11:00 pm	0.314	33	N/A
14	"Cry to Me"	3 May 2011	Tuesday 11:00 pm – 11:30 pm	0.238	41	N/A
15	"Walls"	10 May 2011	Tuesday 10:30 pm – 11:00 pm	0.263	39	N/A
16	"Baby's a Rock 'N' Roller"	17 May 2011	Tuesday 10:30 pm – 11:00 pm	0.296	37	N/A
17	"You're Gonna Get It"	24 May 2011	Tuesday 10:30 pm – 11:00 pm	0.309	35	TBA
18	"Lonesome Sundown"	31 May 2011	Tuesday 10:30 pm – 11:00 pm	0.223	43	TBA
