Name	Bodyweight	Snatch	Clean & Jerk	Total (kg)
Iván Cambar ( CUB )	76.65	156.0	194.0	350.0
José Ocando ( VEN )	76.85	145.0	192.0	337.0
Octavio Mejías ( VEN )	76.78	151.0	185.0	336.0
Carlos Andica ( COL )	76.55	151.0	183.0	334.0
Chad Vaughn ( USA )	76.85	145.0	187.0	332.0
Matt Bruce ( USA )	69.83	148.0	180.0	328.0
Julio Idrovo ( ECU )	76.40	154.0	170.0	324.0
Esteban Radilla ( MEX )	76.40	135.0	170.0	305.0
Víctor Viquez ( PAN )	76.25	130.0	170.0	300.0
Mauricio de Marino ( URU )	75.10	114.0	143.0	257.0
