Team	Manager	Chairman	Team captain	Kit maker	Sponsor
Barnsley	Mark Robins	Patrick Cyrne	Jason Shackell	Lotto	Barnsley Building Society
Bristol City	Keith Millen	Steve Lansdown	Louis Carey	adidas	DAS
Burnley	Eddie Howe	Barry Kilby	Graham Alexander	Puma	Fun88
Cardiff City	Dave Jones	Chan Tien Ghee	Craig Bellamy	Puma	SBOBET
Coventry City	Andy Thorn	Ken Dulieu	Lee Carsley	Puma	City Link
Crystal Palace	Dougie Freedman	Steve Parish Martin Long	Paddy McCarthy	Nike	GAC Logistics
Derby County	Nigel Clough	Andrew Appleby	Robbie Savage	adidas	buymobiles.net
Doncaster Rovers	Sean O'Driscoll	John Ryan	Brian Stock	Nike	One Call Insurance
Hull City	Nigel Pearson	Assem Allam	Andy Dawson	adidas	Totesport.com
Ipswich Town	Paul Jewell	Marcus Evans	David Norris	Mitre	Marcus Evans
Leeds United	Simon Grayson	Ken Bates	Richard Naylor	Macron	NetFlights.com
Leicester City	Sven-Göran Eriksson	Vichai Raksriaksorn	Matt Oakley	BURRDA	King Power
Middlesbrough	Tony Mowbray	Steve Gibson	Matthew Bates	Adidas	Sponsors come on a monthly basis 1
Millwall	Kenny Jackett	John Berylson	Paul Robinson	Macron	CYC
Norwich City	Paul Lambert	Alan Bowkett	Grant Holt	Xara	Aviva
Nottingham Forest	Billy Davies	Nigel Doughty	Paul McKenna	Umbro	Victor Chandler
Portsmouth	Steve Cotterill	Balram Chainrai	Aaron Mokoena	Kappa	Jobsite
Preston North End	Phil Brown	Maurice Lindsay	Sean St Ledger	Puma	Tennent's Lager
Queens Park Rangers	Neil Warnock	Ishan Saksena	Adel Taarabt	Lotto	Gulf Air
Reading	Brian McDermott	John Madejski	Ívar Ingimarsson	Puma	Waitrose
Scunthorpe United	Alan Knill	J. Steven Wharton	Cliff Byrne	Nike	Rainham Steel
Sheffield United	Micky Adams	Kevin McCabe	Chris Morgan	Macron	VisitMalta.com
Swansea City	Brendan Rodgers	Huw Jenkins	Garry Monk	Umbro	32Red
