Year	Network	Play-by-play	Colour commentator(s)	Pregame host
1999	CBC	Chris Cuthbert	Chris Walby	Brian Williams
1998	CBC	Chris Cuthbert	Chris Walby	Brian Williams
1997	CBC	Chris Cuthbert	David Archer	Brian Williams
1996	CBC	Chris Cuthbert	James Curry and David Archer	Brian Williams
1995	CBC	Don Wittman	Dan Kepley	Brian Williams and Scott Oake
1994	CBC	Don Wittman	James Curry and Dan Kepley	Brian Williams
1993	CBC	Don Wittman	James Curry and Dan Kepley	Brian Williams
1992	CBC	Don Wittman	Joe Galat	Brian Williams
1991	CBC	Don Wittman	Joe Galat	Brian Williams
1990	CBC	Don Wittman	Ron Lancaster	Brian Williams
1990	CFN	Bob Irving	Neil Lumsden and Nick Bastaja	Dave Hodge
