Rnd.	Circuit	LMP1 Winning Team	LMP2 Winning Team	GT1 Winning Team	GT2 Winning Team	Results
1	Catalunya	No.007 AMR Eastern Europe	No.30 Racing Box	No.55 IPB Spartak Racing	No.77 Felbermayr-Proton	Results
1	Catalunya	Jan Charouz Tomáš Enge Stefan Mücke	Matteo Bobbi Andrea Piccini Thomas Biagi	Peter Kox Roman Rusinov	Marc Lieb Richard Lietz	Results
2	Spa	No.7 Team Peugeot Total	No.31 Team Essex	No.72 Luc Alphand Aventures	No.77 Felbermayr-Proton	Results
2	Spa	Nicolas Minassian Simon Pagenaud Christian Klien	Casper Elgaard Kristian Poulsen Emmanuel Collard	Luc Alphand Patrice Goueslard Yann Clairay	Marc Lieb Richard Lietz Horst Felbermayr, Sr.	Results
3	Algarve	No.16 Pescarolo Sport	No.40 Quifel ASM Team	No.72 Luc Alphand Aventures	No.92 JMW Motorsport	Results
3	Algarve	Jean-Christophe Boullion Christophe Tinseau	Miguel Amaral Olivier Pla	Julien Jousse Patrice Goueslard Yann Clairay	Rob Bell Gianmaria Bruni	Results
4	Nürburgring	No.007 AMR Eastern Europe	No.40 Quifel ASM Team	No.50 Larbre Compétition	No.77 Felbermayr-Proton	Results
4	Nürburgring	Jan Charouz Tomáš Enge Stefan Mücke	Miguel Amaral Olivier Pla	Roland Berville Sébastien Dumez Laurent Groppi	Marc Lieb Richard Lietz	Results
5	Silverstone	No.10 Team Oreca AIM	No.33 Speedy Racing Team Sebah	No.60 Gigawave Motorsport	No.92 JMW Motorsport	Results
