Series #	Season #	Title	Directed by	Written by	Original air date	Viewers (in millions)
11	1	"If I Could, I Surely Would"	Ed Bianchi	Ray Romano & Mike Royce	December6,2010	2.4
12	2	"Same as the Old Boss"	Jennifer Getzinger	Mark Stegemann	December13,2010	2.2
13	3	"Cold Calls"	Ed Bianchi	Itamar Moses	December20,2010	2.3
14	4	"The Bad Guy"	Millicent Shelton	Siân Heder	December27,2010	2.3
15	5	"And Then the Bill Comes"	David Boyd	Bridget Bedard	January3,2011	2.1
16	6	"Let the Sunshine In"	David Boyd	Tucker Cawley	January10,2011	3.3
17	7	"The Great Escape"	Millicent Shelton	Lew Schneider	June1,2011	1.8
18	8	"The Pickup"	Phil Traill	Ken Blankstein	June8,2011	1.3
19	9	"A League of Their Owen"	David Boyd	Tucker Cawley & Itamar Moses	June15,2011	1.4
20	10	"Can't Let That Slide"	Mike Royce	Siân Heder & Lew Schneider	June22,2011	1.5
21	11	"Whatever Gets You Through the Night"	Geoff Haley	Bridget Bedard & Mike Royce	June29,2011	1.5
