Character	Position	Actor	First Episode	Final Episode	Duration	Final Episode Count
Dr. Tom Loman	Medical Examiner	Christian Clemenson	"Bolt Action"	"Habeas Corpse"	08x03–10x19	52
Maxine Valera	DNA Technician	Boti Bliss	"Blood Brothers"	"Delko for the Defense"	02x01–08x11	76
Dan Cooper	AV Technician	Brendan Fehr	"From the Grave"	"All In"	04x01–06x16	35
Tyler Jenson	AV Technician	Brian Poth	"Double Cap"	"10-7"	01x19–03x24	29
Aaron Peters	Trace Technician	Armando Kennedy	"Crime Wave"	"One of Our Own"	03x07–04x25	16
Cynthia Wells	QD Technician	Brooke Bloom	"Invasion"	"Triple Threat"	02x16–05x18	14
Jake Berkeley	Detective	Johnny Whitworth	"Going Under"	"Meltdown"	05x02–08x21	12
John Hagen	Detective	Holt McCallany	"Simple Man"	"10-7"	01x17–03x24	11
Adelle Sevilla	Detective	Wanda de Jesus	"Wet Foot/Dry Foot"	"Simple Man"	01x03–01x17	10
Rebecca Nevins	ASA [ disambiguation needed ]	Christina Chang	"Hell Night"	"Time Bomb"	03x06–08x23	10
Joseph Kayle	Fingerprints Technician	Leslie Odom, Jr.	"The Best Defense"	"Shock"	02x05–03x20; 04x22–04x24	9
Aaron Jessop	Officer	Joel West	"The Oath"	"One of Our Own"	02x20–04x25	8
Sam Belmontes	Trace Technician	Christian de la Fuente	"Hard Time"	"Legal"	02x03–03x05	7
Peter Elliott	Secret Service Agent	Michael B. Silver	"Money for Nothing"	"Death Pool 100"	02x17–05x03	7
Monica West	ASA [ disambiguation needed ]	Bellamy Young	"Urban Hellraisers"	"One of Our Own"	04x10–04x25	6
Glen Cole	FBI Agent	Mark Rolston	"One of Our Own"	"Miami Confidential"	04x25–06x12	3
Bob Keaton	DEA Agent	Max Martini	"Big Brother"	"Vengeance"	02x08; 03x20–03x22	3
Mac Taylor	NYPD CSI	Gary Sinise	"MIA/NYC Nonstop"	"Felony Flight"	02x23; 04x07	2
Stella Bonasera	NYPD CSI	Melina Kanakaredes	"MIA/NYC Nonstop"	"MIA/NYC Nonstop"	02x23	1
Aiden Burn	NYPD CSI	Vanessa Ferlito	"MIA/NYC Nonstop"	"MIA/NYC Nonstop"	02x23	1
Danny Messer	NYPD CSI	Carmine Giovinazzo	"MIA/NYC Nonstop"	"MIA/NYC Nonstop"	02x23	1
Sheldon Hawkes	NYPD Medical Examiner	Hill Harper	"MIA/NYC Nonstop"	"MIA/NYC Nonstop"	02x23	1
