Gymnast	Vault	Uneven Bars	Balance Beam	Floor Exercise	Total
Carly Patterson ( USA )	9.375	9.575	9.725	9.712	38.387
Svetlana Khorkina ( RUS ) 1	9.462	9.725	9.462	9.562	38.211
Zhang Nan ( CHN )	9.325	9.462	9.662	9.600	38.049
Anna Pavlova ( RUS )	9.425	9.337	9.650	9.612	38.024
Nicoleta Daniela Șofronie ( ROU )	9.412	9.637	9.362	9.537	37.948
Irina Yarotska ( UKR )	9.200	9.650	9.400	9.437	37.687
Marine Debauve ( FRA )	9.162	9.512	9.262	9.425	37.361
Elena Gómez ( ESP )	9.150	9.525	9.162	9.462	37.299
Courtney Kupets ( USA )	9.275	9.625	8.975	9.237	37.112
Allana Slater ( AUS )	9.175	9.362	9.212	9.350	37.099
Alina Kozich ( UKR )	9.250	9.512	8.687	9.600	37.049
Daniele Hypólito ( BRA )	8.825	9.562	9.337	9.237	36.961
Wang Tiantian ( CHN )	9.375	9.537	8.725	9.162	36.799
Émilie Lepennec ( FRA )	9.300	9.687	8.112	9.537	36.636
Stefani Bismpikou ( GRE )	8.887	9.475	8.900	9.237	36.499
Camila Comin ( BRA )	9.187	9.437	8.525	8.925	36.074
Kwang Sun Pyon ( PRK )	8.525	9.587	8.850	8.900	35.862
Kate Richardson ( CAN )	9.262	8.087	9.037	9.400	35.786
Beth Tweddle ( GBR )	8.987	9.562	7.800	9.412	35.761
Stephanie Moorhouse ( AUS )	9.037	8.587	8.200	8.925	35.723
Katy Lennon ( GBR )	9.262	8.987	8.200	8.925	35.374
Leyanet Gonzalez Calero ( CUB )	9.325	8.725	8.012	9.237	35.299
Aagje Vanwalleghem ( BEL )	9.225	9.075	8.287	8.275	34.862
Melanie Banville ( CAN )	9.200	8.025	8.787	8.462	34.474
