Date	Venue	Score	Result	Competition
30 June 1995	Alexandria Stadium , Alexandria	2–0	6–0	1996 Africa Cup of Nations qualifier
5 June 1997	Cairo International Stadium , Cairo	2–0	2–0	Friendly
16 June 1997	Seoul , South Korea	2–0	2–0	1997 Korea Cup
17 August 1997	Cairo International Stadium , Cairo	3–0	5–0	1998 FIFA World Cup qualifier
18 December 1997	Aswan Stadium , Aswan	7-2	7-2	Friendly
25 July 1999	Estadio Azteca , Mexico City , Mexico	1–0	2–2	1999 FIFA Confederations Cup
9 January 2001	Cairo International Stadium , Cairo	1–0	3–0	Friendly
9 January 2001	Cairo International Stadium , Cairo	3–0	3–0	Friendly
17 January 2001	Cairo International Stadium , Cairo	4–0	4–0	2002 African Cup of Nations qualifier
11 March 2001	Cairo International Stadium , Cairo	2–0	5-2	2002 FIFA World Cup qualifier
13 July 2001	Alexandria Stadium , Alexandria	8-2	8-2	2002 FIFA World Cup qualifier
