Constituency	Winner	Party	Margin	Runner-up a	Party a
Madras North	Krishnan Manoharan	DMK	61334	S. C. C. A. Pillai	INC
Madras South	C. N. Annadurai	DMK	81978	K. Gurumurti	INC
Sriperumbudur (SC)	P. Sivasankaran	DMK	101765	K. Sambandan	INC
Chengalpattu	C. Chitti Babu	DMK	105731	O. V. Alagesan	INC
Tiruttani	S. K. Sambandhan	DMK	75549	A. Krishnaswamy	INC
Vellore (SC)	Kuchelar	DMK	69732	A. Jayaraman	INC
Tiruppattur	R. Muthu Gounder	DMK	29231	T. A. Wahid	INC
Vandavasi	G. Viswanathan	DMK	80659	M. K. Gounder	INC
Tindivanam	T. D. R. Naidu	DMK	32070	Lakshmi Narayanan	INC
Cuddalore	V. K. Gounder	DMK	47973	S. Radhakrishnan	INC
Chidambaram (SC)	V. Mayavan	DMK	17429	L. Elaya Perumal	INC
Kallakurichi	M. Deiveekan	DMK	26523	K. Parthasarathy	INC
Krishnagiri	M. Kamalanathan	DMK	18294	T. S. Pattabiraman	INC
Salem	K. Rajaram	DMK	63509	R. Ramakrishnan	INC
Mettur	S. Kandappan	DMK	56845	G. Venkataraman	INC
Tiruchengode	K. Anbazhagan	DMK	48251	T. M. Kaliannan	INC
Nilgiris	M. K. N. Gounder	SWA	19702	A. Devi	INC
Coimbatore	K. Ramani	CPM	65921	N. Mahalingam	INC
Pollachi	Narayanan	DMK	81754	S. K. Paramasivam	INC
Dharapuram (SC)	C. T. Dhandapani	DMK	110866	S. R. Arumugam	INC
Gobichettipalayam	P. A. Saminathan	DMK	48945	C. Subramaniam	INC
Periyakulam	H. Ajmal Khan	SWA	27621	M. Ibrahim	INC
Dindigul	N. Anbuchezhian	DMK	103346	T. S. Soundram	INC
Madurai	P. Ramamurti	CPM	105468	S. C. Thevar	INC
Karur	M. Gounder	SWA	23718	R. Chettiar	INC
Tiruchirappalli	K. A. Nambiar	CPM	2545	V. A. Muthiah	INC
Perambalur (SC)	A. Durairaju	DMK	33828	P. K. Ramaswamy	INC
Pudukkottai	R. Umanath	CPM	9382	A. N. Chettiar	INC
Kumbakonam	S. Era	DMK	20039	C. R. P. Raman	INC
Mayuram (SC)	K. Subravelu	DMK	52044	Maragatham Chandrasekhar	INC
Nagapattinam	V. Sambasivam	INC	11219	V. P. Chintan	CPM
Thanjavur	D. S. Gopalar	DMK	22574	R. Venkataraman	INC
Sivaganga	Tha. Kiruttinan	DMK	58217	Subramanian	INC
Ramanathapuram	M. Sheriff	IND/ ML	32025	S. Balakrishnan	INC
Sivakasi	P. Ramamoorthy	SWA	31672	P. A. Nadar	INC
Tirunelveli	S. Xavier	SWA	41991	A. P. C. Veerabahu	INC
Tenkasi (SC)	R. S. Arumugam	INC	5746	Velu	SWA
Tiruchendur	Santhosam	SWA	394	K. T. Kosalram	INC
