Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	6-5-1	Tim Catalfo	Submission (choke)	KOTC 9 - Showtime	1	0:25	San Jacinto, California , United States
Win	6-4-1	Joe Campanella	Submission (keylock)	UCC 2: The Moment of Truth	1	1:06	Montreal , Canada
Draw	5-4-1	Elvis Sinosic	Draw	UCC 1: The New Beginning	2	10:00	Montreal , Canada
Win	5-4	Carlos Barreto	Decision	UFC 15	1	15:00	Bay St. Louis, Mississippi , United States
Win	4-4	Patrick Smith	Submission (punches)	U - Japan	1	1:09	Sapporo , Japan
Loss	3-4	Dan Bobish	TKO (cut)	Universal Vale Tudo Fighting 4	1	4:44	Brazil
Win	3-3	Egidio Amaro da Costa	Submission (keylock)	Universal Vale Tudo Fighting 4	1	2:36	Brazil
Loss	2-3	Oleg Taktarov	Submission (achilles hold)	Ultimate Ultimate 1995	1	1:15	Denver, Colorado , United States
Loss	2-2	Oleg Taktarov	Submission (front choke)	UFC 6	1	0:57	Casper, Wyoming , United States
Loss	2-1	Dan Severn	Submission (keylock)	UFC 5	1	3:01	Charlotte, North Carolina , United States
Win	2-0	Todd Medina	TKO	UFC 5	1	2:12	Charlotte, North Carolina , United States
Win	1-0	Asbel Cancio	TKO (strikes)	UFC 5	1	0:21	Charlotte, North Carolina , United States
