Position	Athlete	Compulsory	Voluntary	Total
1	Lu Chunlong ( CHN )	31.20	41.20	72.40
2	Dong Dong ( CHN )	31.00	40.70	71.70
3	Dmitry Ushakov ( RUS )	30.80	40.70	71.50
4	Yuriy Nikitin ( UKR )	30.60	40.10	70.70
5	Tetsuya Sotomura ( JPN )	29.60	40.70	70.30
6	Alexander Rusakov ( RUS )	29.90	40.00	69.90
7	Jason Burnett ( CAN )	28.50	41.20	69.70
8	Mikalai Kazak ( BLR )	30.30	39.40	69.70
9	Yasuhiro Ueyama ( JPN )	29.9	39.3	69.2
10	Peter Jensen ( DEN )	30.5	38.7	69.2
11	Diogo Ganchinho ( POR )	29.8	39.3	69.1
12	Gregoire Pennes ( FRA )	30.0	38.7	68.7
13	Ben Wilden ( AUS )	28.1	39.0	67.1
14	Flavio Cannone ( ITA )	29.0	37.5	66.5
15	Chris Estrada ( USA )	28.5	37.4	65.9
16	Henrik Stehlik ( GER )	30.9	33.7	64.6
