Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	7-8-1	Lauren Taylor	Decision (unanimous)	Invicta FC 5: Penne vs. Waterson	3	5:00	Kansas City, Missouri , United States
Loss	7-7-1	Leslie Smith	TKO (punches)	Invicta FC 3: Penne vs. Sugiyama	2	2:19	Kansas City, Kansas , United States
Loss	7-6-1	Liz Carmouche	Submission (rear-naked choke)	Invicta FC 2: Baszler vs. McMann	2	3:34	Kansas City, Kansas , United States
Draw	7-5-1	Leslie Smith	Draw (split)	Invicta FC 1: Coenen vs. Ruyssen	3	5:00	Kansas City, Kansas , United States
Win	7-5	Anna Barone	TKO (doctor stoppage)	Driller Promotions / SEG - Downtown Showdown 2	2	5:00	Minneapolis, Minnesota , United States
Win	6-5	Liz Carreiro	TKO (punches)	FCF 49: Fight Strong For The Cure	1	4:47	Shawnee, Oklahoma , United States
Loss	5-5	Julie Kedzie	Decision (unanimous)	Jackson's MMA Series 4	5	5:00	Albuquerque, New Mexico , United States
Win	5-4	Julie Kedzie	Decision (split)	Ultimate Women Challenge	3	3:00	St. George, Utah , United States
Loss	4-4	Jennifer Tate	Submission (armbar)	Freestyle Cage Fighting 39	2	2:35	Shawnee, Oklahoma , United States
Loss	4-3	Shana Olsen	TKO (punches and elbows)	Ironman MMA	2	1:52	Welch, Minnesota , United States
Loss	4-2	Gina Carano	TKO (doctor stoppage)	EliteXC: Primetime	2	3:00	Newark, New Jersey , United States
Loss	4-1	Sarah Schneider	Submission (armbar)	Tuff-N-Uff: Thompson vs. Troyer	2	0:35	Las Vegas, Nevada , United States
Win	4-0	Patti Lee	KO (knee to the body)	HOOKnSHOOT - BodogFight 2007 Women's Grand Prix	1	0:53	Evansville, Indiana , United States
Win	3-0	Miesha Tate	KO (head kick)	HOOKnSHOOT - BodogFight 2007 Women's Grand Prix	1	0:30	Evansville, Indiana , United States
Win	2-0	Suzy Smith	KO (knees)	HOOKnSHOOT - BodogFight 2007 Women's Grand Prix	1	0:22	Evansville, Indiana , United States
Win	1-0	Lindsey Frandrop	TKO (kicks to the body and punches)	Brutaal - Fight Night	2	0:26	Maplewood, Minnesota , United States
