Rnd	Circuit	WSC Winning Team	GT1 Winning Team	GT2 Winning Team	GT3 Winning Team	Results
1	Sebring	#30 MOMO Doran Racing	#4 Panoz Motorsports	#66 Konrad Motorsport	#10 PTG	Results
1	Sebring	Didier Theys Mauro Baldi Gianpiero Moretti	Andy Wallace David Brabham	Franz Konrad Nick Ham	Bill Auberlen Boris Said	Results
2	Las Vegas	#7 Doyle- Risi Racing	#4 Panoz Motorsports	#6 PTG	#10 PTG	Results
2	Las Vegas	Wayne Taylor Eric van de Poele	Andy Wallace David Brabham	Andy Pilgrim Boris Said Marc Duez	Peter Cunningham Ross Bentley	Results
3	Lime Rock	#16 Dyson Racing	#4 Panoz Motorsports	#6 PTG	#1 PTG	Results
3	Lime Rock	Butch Leitzinger James Weaver	Andy Wallace David Brabham	Boris Said Marc Duez	Peter Cunningham Ross Bentley	Results
4	Road Atlanta	#16 Dyson Racing	#38 Champion Motors	#6 PTG	#10 PTG	Results
4	Road Atlanta	Butch Leitzinger James Weaver	Thierry Boutsen Bob Wollek	Boris Said Marc Duez	Bill Auberlen Mark Simo	Results
5	Mosport	#16 Dyson Racing	#4 Panoz Motorsports	#6 PTG	#10 PTG	Results
5	Mosport	Butch Leitzinger James Weaver	Andy Wallace David Brabham	Marc Duez Ross Bentley	Bill Auberlen Mark Simo	Results
6	Sebring	#16 Dyson Racing	#4 Panoz Motorsports	#99 Schumacher Racing	#22 Alex Job Racing	Results
6	Sebring	Butch Leitzinger James Weaver	Andy Wallace David Brabham	Larry Schumacher John O'Steen	Cort Wagner Kelly Collins	Results
7	Road Atlanta	#7 Doyle- Risi Racing	#38 Champion Motors	#81 Freisinger Motorsport	#76 Team A.R.E.	Results
7	Road Atlanta	Eric van de Poele Wayne Taylor Emmanuel Collard	Thierry Boutsen Bob Wollek Ralf Kelleners	Michel Ligonnet Lance Stewart	Peter Argetsinger Richard Polidori Angelo Cilli	Results
8	Laguna Seca	#2 BMW Motorsport	#4 Panoz Motorsports	#72 Konrad Motorsport	#23 Alex Job Racing	Results
