Rank	Club	Years	Games	Ø-Pts
1	FC Bayern Munich	49	1636	1.95
2	Werder Bremen	50	1662	1.54
3	Hamburger SV	51	1696	1.51
4	VfB Stuttgart	49	1628	1.52
5	Borussia Dortmund	47	1594	1.52
6	Borussia Mönchengladbach	46	1534	1.46
7	FC Schalke 04	46	1526	1.42
8	1. FC Köln	43	1458	1.47
9	1. FC Kaiserslautern	44	1492	1.40
10	Eintracht Frankfurt	45	1492	1.36
11	Bayer 04 Leverkusen	35	1160	1.54
12	VfL Bochum	34	1160	1.18
13	Hertha BSC	31	1012	1.36
14	1. FC Nuremberg	32	1050	1.21
15	MSV Duisburg	28	948	1.21
16	Hannover 96	26	846	1.19
17	Karlsruher SC	24	812	1.17
18	Fortuna Düsseldorf	23	786	1.21
19	TSV 1860 München	20	672	1.32
20	Eintracht Braunschweig	21	672	1.31
21	VfL Wolfsburg	17	544	1.36
22	Arminia Bielefeld	17	544	1.10
23	SC Freiburg	15	476	1.19
24	KFC Uerdingen 05	14	476	1.14
25	FC Hansa Rostock	12	412	1.16
26	1. FSV Mainz 05	8	238	1.26
27	SV Waldhof Mannheim	7	238	1.20
28	Kickers Offenbach	7	238	1.18
29	Rot-Weiss Essen	7	238	1.10
30	FC St. Pauli	8	272	0.93
31	1899 Hoffenheim	6	170	1.25
32	Energie Cottbus	6	204	1.03
33	Alemannia Aachen	4	136	1.15
34	Wattenscheid 09	4	140	1.07
35	1. FC Saarbrücken	5	166	0.87
36	Dynamo Dresden	4	140	1.00
37	Rot-Weiß Oberhausen	4	136	1.02
38	Wuppertaler SV Borussia	3	102	1.00
39	Borussia Neunkirchen	3	98	0.95
40	FC 08 Homburg	3	102	0.88
41	SpVgg Unterhaching	2	68	1.16
42	Stuttgarter Kickers	2	72	1.07
43	FC Augsburg	3	68	1.04
44	SV Darmstadt 98	2	68	0.79
45	Tennis Borussia Berlin	2	68	0.72
46	SSV Ulm 1846	1	34	1.03
47	SC Fortuna Köln	1	34	0.97
48	Preußen Münster	1	30	1.00
49	SpVgg Greuther Fürth	1	34	0.62
50	Blau-Weiß 90 Berlin	1	34	0.62
51	VfB Leipzig	1	34	0.59
52	Tasmania 1900 Berlin	1	34	0.29
