Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 10	Infiniti Tournament of Champions	California	Davis Love III (7)	272 (–16)	144,000
Jan 17	United Airlines Hawaiian Open	Hawaii	Howard Twitty (3)	269 (–19)	216,000
Jan 24	Northern Telecom Open	Arizona	Larry Mize (3)	271 (–17)	198,000
Jan 31	Phoenix Open	Arizona	Lee Janzen (2)	273 (–11)	180,000
Feb 7	AT&T Pebble Beach National Pro-Am	California	Brett Ogle (1)	276 (–12)	225,000
Feb 14	Bob Hope Chrysler Classic	California	Tom Kite (18)	325 (–35)	198,000
Feb 21	Buick Invitational of California	California	Phil Mickelson (2)	278 (–10)	180,000
Feb 28	Nissan Los Angeles Open	California	Tom Kite (19)	206 (–7)	180,000
Mar 7	Doral-Ryder Open	Florida	Greg Norman (12)	265 (–23)	252,000
Mar 14	Honda Classic	Florida	Fred Couples (10)	207 (–9)	198,000
Mar 21	Nestle Invitational	Florida	Ben Crenshaw (17)	280 (–8)	180,000
Mar 28	The Players Championship	Florida	Nick Price (6)	270 (–18)	450,000
Apr 4	Freeport-McMoRan Golf Classic	Louisiana	Mike Standly (1)	281 (–7)	180,000
Apr 11	Masters Tournament	Georgia	Bernhard Langer (3)	278 (–10)	306,000
Apr 18	MCI Heritage Golf Classic	South Carolina	David Edwards (4)	273 (–11)	202,500
Apr 25	KMart Greater Greensboro Open	North Carolina	Rocco Mediate (2)	281 (–7)	270,000
May 2	Shell Houston Open	Texas	Jim McGovern (1)	199 (–17)	234,000
May 9	BellSouth Classic	Georgia	Nolan Henke (3)	271 (–17)	216,000
May 16	GTE Byron Nelson Golf Classic	Texas	Scott Simpson (6)	270 (–10)	216,000
May 23	Kemper Open	Maryland	Grant Waite (1)	275 (–9)	234,000
May 30	Southwestern Bell Colonial	Texas	Fulton Allem (2)	264 (–16)	234,000
Jun 6	Memorial Tournament	Ohio	Paul Azinger (9)	274 (–14)	252,000
Jun 13	Buick Classic	New York	Vijay Singh (1)	280 (–4)	180,000
Jun 20	U.S. Open	New Jersey	Lee Janzen (3)	272 (–8)	290,000
Jun 27	Canon Greater Hartford Open	Connecticut	Nick Price (7)	271 (–9)	180,000
Jul 4	Sprint Western Open	Illinois	Nick Price (8)	269 (–19)	216,000
Jul 11	Anheuser-Busch Golf Classic	Virginia	Jim Gallagher, Jr. (2)	269 (–15)	198,000
Jul 18	British Open	England	Greg Norman (13)	267 (–13)	154,000
Jul 25	New England Classic	Massachusetts	Paul Azinger (10)	268 (–16)	180,000
Aug 1	Federal Express St. Jude Classic	Tennessee	Nick Price (9)	266 (–18)	198,000
Aug 8	Buick Open	Michigan	Larry Mize (4)	272 (–16)	180,000
Aug 15	PGA Championship	Ohio	Paul Azinger (11)	272 (–12)	300,000
Aug 22	The International	Colorado	Phil Mickelson (3)	45 ( Stableford )	234,000
Aug 29	NEC World Series of Golf	Ohio	Fulton Allem (3)	270 (–10)	360,000
Sep 5	Greater Milwaukee Open	Wisconsin	Billy Mayfair (1)	270 (–18)	180,000
Sep 12	Canadian Open	Canada	David Frost (7)	279 (–9)	180,000
Sep 19	Hardee's Golf Classic	Illinois	David Frost (8)	259 (–21)	180,000
Sep 26	B.C. Open	New York	Blaine McCallister (5)	271 (–13)	144,000
Oct 1	Buick Southern Open	Georgia	John Inman (2)	278 (–10)	126,000
Oct 10	Walt Disney World/Oldsmobile Classic	Florida	Jeff Maggert (1)	265 (–23)	198,000
Oct 17	H.E.B. Texas Open	Texas	Jay Haas (9)	263 (–21)	180,000
Oct 24	Las Vegas Invitational	Nevada	Davis Love III (8)	331 (–29)	252,000
Oct 31	The Tour Championship	California	Jim Gallagher, Jr. (3)	277 (–7)	540,000
