Date	Course	Distance	Type	Winner
13 May	Perugia to Terni	km (mi)	Hilly stage	Mario Cipollini ( ITA )
14 May	Foligno to Assisi	km (mi)	Individual time trial	Tony Rominger ( SUI )
15 May	Spoleto to Marotta	km (mi)	Plain stage	Mario Cipollini ( ITA )
16 May	Mondolfo to Loreto	km (mi)	Hilly stage	Tony Rominger ( SUI )
17 May	Porto Recanati to Tortoreto	km (mi)	Hilly stage	Filippo Casagrande ( ITA )
18 May	Trani to Taranto	km (mi)	Plain stage	Nicola Minali ( ITA )
19 May	Taranto to Terme Luigiane	km (mi)	Hilly stage	Maurizio Fondriest ( ITA )
20 May	Acquappesa to Monte Sirino	km (mi)	Stage with mountain(s)	Laudelino Cubino ( ESP )
21 May	Terme La Calda to Salerno	km (mi)	Plain stage	Rolf Sørensen ( DEN )
22 May	Telese Terme to Maddaloni	km (mi)	Individual time trial	Tony Rominger ( SUI )
23 May	Rest day	Rest day	Rest day	Rest day
24 May	Pietrasanta to Il Ciocco	km (mi)	Stage with mountain(s)	Enrico Zaina ( ITA )
25 May	Borgo a Mozzano to Cento	km (mi)	Plain stage	Ján Svorada ( CZE )
26 May	Pieve di Cento to Rovereto	km (mi)	Hilly stage	Pascal Richard ( SUI )
27 May	Trento to Schnals	km (mi)	Stage with mountain(s)	Oliverio Rincón ( COL )
28 May	Schnals to Lenzerheide ( Switzerland )	km (mi)	Stage with mountain(s)	Mariano Piccoli ( ITA )
29 May	Lenzerheide ( Switzerland ) to Treviglio	km (mi)	Hilly stage	Giuseppe Citterio ( ITA )
30 May	Cenate Sotto to Selvino	km (mi)	Individual time trial	Tony Rominger ( SUI )
31 May	Stradella to Sanctuary of Vicoforte	km (mi)	Plain stage	Denis Zanette ( ITA )
1 June	Mondovì to Pontechianale	km (mi)	Stage with mountain(s)	Pascal Richard ( SUI )
2 June	Briançon ( France ) to Gressoney-Saint-Jean	km (mi)	Stage with mountain(s)	Serguei Outschakov ( UKR )
3 June	Pont-Saint-Martin to Luino	km (mi)	Stage with mountain(s)	Evgeni Berzin ( RUS )
4 June	Luino to Milan	km (mi)	Plain stage	Giovanni Lombardi ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
