Week	Date	Opponent	Result	Attendance
1	September 20, 1970	Denver Broncos	L 25–10	34,882
2	September 27, 1970	Los Angeles Rams	L 19–0	46,206
3	October 4, 1970	New York Jets	W 34–31	46,206
4	October 11, 1970	at Pittsburgh Steelers	L 23–10	42,140
5	October 18, 1970	Miami Dolphins	L 33–14	41,312
6	October 25, 1970	at New York Jets	W 10–6	62,712
7	November 1, 1970	at Boston Patriots	W 45–10	31,148
8	November 8, 1970	Cincinnati Bengals	L 43–14	43,587
9	November 15, 1970	at Baltimore Colts	T 17–17	60,240
10	November 22, 1970	at Chicago Bears	L 31–13	41,015
11	November 29, 1970	Boston Patriots	L 14–10	31,427
12	December 6, 1970	at New York Giants	L 20–6	62,870
13	December 13, 1970	Baltimore Colts	L 20–14	34,346
14	December 20, 1970	at Miami Dolphins	L 45–7	70,990
