Shooter	Event	Rank points	Score points	Total
Sergei Martynov ( BLR )	WCF 2007	Defending champion	Defending champion	Defending champion
Artur Ayvazyan ( UKR )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Matthew Emmons ( USA )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Warren Potent ( AUS )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Stevan Pletikosić ( SRB )	WC Rio de Janeiro	15	13	28
Torben Grimmel ( DEN )	WC Milan	15	12	27
Thomas Tamas ( USA )	WC Beijing	10	14	24
Neil Stirton ( GBR )	WC Munich	10	14	24
Michael McPhail ( USA )	WC Beijing	8	13	21
Toshikazu Yamashita ( JPN )	WC Milan	10	11	21
Jury Sukhorukov ( UKR )	WC Beijing	5	13	18
Tomáš Jeřábek ( CZE )	WC Munich	5	12	17
