Place	Player	Country	Score	To par	Money ( £ )
T1	Stewart Cink	United States	66-72-71-69=278	−2	Playoff
T1	Tom Watson	United States	65-70-71-72=278	−2	Playoff
T3	Lee Westwood	England	68-70-70-71=279	−1	255,000
T3	Chris Wood	England	70-70-72-67=279	−1	255,000
T5	Luke Donald	England	71-72-70-67=280	E	157,000
T5	Mathew Goggin	Australia	66-72-69-73=280	E	157,000
T5	Retief Goosen	South Africa	67-70-71-72=280	E	157,000
T8	Thomas Aiken	South Africa	71-72-69-69=281	+1	90,400
T8	Ernie Els	South Africa	69-72-72-68=281	+1	90,400
T8	Søren Hansen	Denmark	68-72-74-67=281	+1	90,400
T8	Richard S. Johnson	Sweden	70-72-69-70=281	+1	90,400
T8	Justin Leonard	United States	70-70-73-68=281	+1	90,400
