Date	Opponent	Score	Loss	Attendance	Record
May 1	Angels	7 - 2	Drese (2-3)	23,536	13-14
May 2	Angels	8 - 0	Finley (2-3)	26,068	13-15
May 3	Rangers	4 - 2	Báez (3-3)	32,846	13-16
May 4	Rangers	3 - 0	Valdez (2-4)	33,788	14-16
May 5	Rangers	9 - 2	Rogers (3-1)	31,990	15-16
May 6	@ Orioles	9 - 4	Groom (1-1)	24,976	16-16
May 7	@ Orioles	4 - 3 (10)	Wohlers (0-1)	26,455	16-17
May 8	@ Orioles	6 - 2	Erickson (3-3)	29,361	17-17
May 9	@ Royals	5 - 3	Rincón (0-1)	12,555	17-18
May 10	@ Royals	9 - 0	Sabathia (3-4)	24,279	17-19
May 11	@ Royals	Postponed (rain)	Postponed (rain)	Postponed (rain)	Postponed (rain)
May 12	@ Royals	4 - 1	Finley (2-4)	10,820	17-20
May 14	Orioles	6 - 5	Julio (2-2)	30,447	18-20
May 15	Orioles	3 - 1	Bauer (1-1)	26,315	19-20
May 17	Royals	6 - 2	Finley (2-5)	32,593	19-21
May 18	Royals	4 - 2	Wickman (0-1)	29,388	19-22
May 18	Royals	4 - 1	May (0-1)	32,110	20-22
May 19	Royals	5 - 4	Wickman (0-2)	31,105	20-23
May 20	@ Tigers	4 - 3	Rincón (0-2)	12,851	20-24
May 21	@ Tigers	5 - 1	Nagy (0-1)	14,442	20-25
May 22	@ Tigers	2 - 0	Finley (2-6)	14,396	20-26
May 24	@ Blue Jays	5 - 2	Miller (3-2)	16,385	21-26
May 25	@ Blue Jays	3 - 0	Loaiza (2-1)	21,589	22-26
May 26	@ Blue Jays	3 - 1	Prokopec (2-7)	22,380	23-26
May 27	Tigers	4 - 1	Báez (4-4)	40,652	23-27
May 28	Tigers	4 - 2	Weaver (4-6)	25,028	24-27
May 29	Tigers	9 - 5	Riske (0-2)	26,156	24-28
May 30	Tigers	11 - 7	Lima (1-3)	25,689	25-28
May 31	White Sox	7 - 0	Glover (1-1)	33,756	26-28
