Year	Entrant	Chassis	Engine	Points
1951	Ecurie Belgique	Lago-Talbot T26C	Talbot Straight-6	0
1953	Ecurie Belge	Connaught A Type	Lea-Francis Straight-4	0
1954	Equipe Gordini	Gordini Type 16	Gordini Straight-6	2
1956	Equipe Gordini	Gordini Type 32	Gordini Straight-8	0
1956	Scuderia Ferrari	Lancia D50	Ferrari V8	0
1956	Equipe Gordini	Gordini Type 16	Gordini Straight-6	0
1961	André Pilette	Emeryson P	Climax Straight-4	0
1963	Tim Parnell	Lotus 18/21	Climax Straight-4	0
1963	André Pilette	Lotus 18/21	Climax Straight-4	0
1964	Equipe Scirocco Belge	Scirocco 02	Climax V8	0
