Pick	Player	Country of origin*	PBA team	College
11	Oliver Agapito	Philippines	Tanduay Rhum Masters	St. Benilde
12	Anton Villoria	Philippines	Red Bull Thunder	Letran
13	Marlon Basco	Philippines	Barangay Ginebra Kings	Luzon
14	Jovy Sese	Philippines	Pop Cola Panthers	Manila
15	Ricky Calimag	Philippines	Tanduay Rhum Masters	San Beda
16	Jojo Tangkay	Philippines	Sta. Lucia Realtors	Southwestern
17	Charles de Jesus	United States	Tanduay Rhum Masters	Western Wyoming
18	Kenny Evans	United States	Alaska Aces	San Francisco State
19	Jomar Tierra	Philippines	San Miguel Beermen	East
20	Ato Morano	Philippines	Pop Cola Panthers	San Beda
