Year	Name	Field	State	Country
1998	Cardinal Antony Padiyara	Social Work	Kerala	India
1998	Dr. Manmohan Attavar	Science & Engineering	Karnataka	India
1998	Shri. Lila Ram Sangwan	Sports	Haryana	India
1998	Smt. Kanta Tyagi	Social Work	Madhya Pradesh	India
1998	Prof. Aditya Naraian Purohit	Science & Engineering	Uttarakhand	India
1998	Prof. Brijinder Nath Goswamy	Literature & Education	Chandigarh	India
1998	Prof. Gurdial Singh	Literature & Education	Punjab	India
1998	Prof. Priyambada Mohanty Hejmadi	Science & Engineering	Orissa	India
1998	Prof. Ranjit Roy Chaudhury	Medicine	Delhi	India
1998	Shri. Chewang Phunsog	Civil Service	Delhi	India
1998	Shri. Kongbrailatpam Ibomcha Sharma	Arts	Manipur	India
1998	Shri. Krishnarao Ganpatrao Sable	Arts	Maharashtra	India
1998	Shri. Kunja Bihari Meher	Arts	Orissa	India
1998	Shri. Narayan Gangaram Surve	Literature & Education	Maharashtra	India
1998	Shri. Naushad Ismail Padamsee	Trade & Industry	Maharashtra	India
1998	Prof. Ottaplakkal Neelakanta Velu Kurup	Literature & Education	Kerala	India
1998	Dr. Mammootty	Arts	Kerala	India
1998	Shri. Pargat Singh	Sports	Punjab	India
1998	Shri. Pradhan Shambu Saran	Science & Engineering	Delhi	India
1998	Shri. Ralte Vanlawma	Social Work	Mizoram	India
1998	Shri. Ramesh Krishnan	Sports	Tamil Nadu	India
1998	Shri. Shambu Nath Khajuria	Social Work	Jammu and Kashmir	India
1998	Shri. Suryadevara Ramachandra Rao	Civil Service	Gujarat	India
1998	Shri. Uppalapu Srinivas	Arts	Tamil Nadu	India
1998	Shri. V. K. Saraswat	Science & Engineering	Andhra Pradesh	India
1998	Sister Leonarda Angela Casiraghi	Social Work	Karnataka	India
1998	Smt. Dipali Borthakur	Arts	Assam	India
1998	Smt. Lalsangzuali Sailo	Literature & Education	Mizoram	India
1998	Smt. Shantha Sinha	Social Work	Andhra Pradesh	India
1998	Smt. Shiny Wilson	Sports	Kerala	India
1998	Smt. Zohra Segal	Arts	Delhi	India
