Pick #	Player	Position	Nationality	NHL team	College/junior/club team
1	Mats Sundin	Centre	Sweden	Quebec Nordiques	Nacka HK ( Sweden )
2	Dave Chyzowski	Left Wing	Canada	New York Islanders	Kamloops Blazers ( WHL )
3	Scott Thornton	Centre	Canada	Toronto Maple Leafs	Belleville Bulls ( OHL )
4	Stu Barnes	Centre	Canada	Winnipeg Jets	Tri-City Americans (WHL)
5	Bill Guerin	Right Wing	United States	New Jersey Devils	Springfield Olympics (NEJHL)
6	Adam Bennett	Defence	Canada	Chicago Blackhawks	Sudbury Wolves (OHL)
7	Doug Zmolek	Defence	United States	Minnesota North Stars	Rochester John Marshall High School (USHS-MN)
8	Jason Herter	Defence	Canada	Vancouver Canucks	University of North Dakota ( NCAA )
9	Jason Marshall	Defence	Canada	St. Louis Blues	Vernon Lakers ( BCJHL )
10	Bobby Holik	Centre	Czechoslovakia	Hartford Whalers	Dukla Jihlava ( Czechoslovakia )
11	Mike Sillinger	Centre	Canada	Detroit Red Wings	Regina Pats (WHL)
12	Rob Pearson	Right Wing	Canada	Toronto Maple Leafs	Belleville Bulls (OHL)
13	Lindsay Vallis	Right Wing	Canada	Montreal Canadiens	Seattle Thunderbirds (WHL)
14	Kevin Haller	Defence	Canada	Buffalo Sabres	Regina Pats (WHL)
15	Jason Soules	Defence	Canada	Edmonton Oilers	Niagara Falls Thunder (OHL)
16	Jamie Heward	Defence	Canada	Pittsburgh Penguins	Regina Pats (WHL)
17	Shayne Stevenson	Centre	Canada	Boston Bruins	Kitchener Rangers (OHL)
18	Jason Miller	Centre	Canada	New Jersey Devils	Medicine Hat Tigers (WHL)
19	Olaf Kolzig	Goaltender	West Germany	Washington Capitals	Tri-City Americans (WHL)
20	Steven Rice	Right Wing	Canada	New York Rangers	Kitchener Rangers (OHL)
21	Steve Bancroft	Defence	Canada	Toronto Maple Leafs	Belleville Bulls (OHL)
