Heat	Lane	Name	Nationality	Time
4	4	Kieren Perkins	Australia	14:58.34
5	4	Erik Vendt	United States	15:05.11
6	4	Grant Hackett	Australia	15:07.50
6	5	Ryk Neethling	South Africa	15:09.12
4	3	Alexei Filipets	Russia	15:10.94
5	5	Chris Thompson	United States	15:11.21
5	6	Heiko Hell	Germany	15:11.91
4	5	Igor Chervynskiy	Ukraine	15:12.30
6	6	Dragoș Coman	Romania	15:12.64
6	2	Christian Minotti	Italy	15:12.72
6	1	Nicolas Rostoucher	France	15:13.26
4	2	Frederik Hviid	Spain	15:14.37
5	2	Masato Hirano	Japan	15:14.43
5	3	Igor Snitko	Ukraine	15:14.67
3	5	Ricardo Monasterio	Venezuela	15:17.00
6	8	Yota Arase	Japan	15:18.20
6	7	Paul Palmer	Great Britain	15:21.09
4	1	Luiz Lima	Brazil	15:23.15
6	3	Emiliano Brembilla	Italy	15:27.65
3	4	Dmitry Koptur	Belarus	15:29.62
3	3	Spyridon Gianniotis	Greece	15:29.69
4	7	Alexey Kovrigin	Russia	15:30.69
4	6	Andrew Hurd	Canada	15:30.98
5	8	Teo Edo	Spain	15:32.01
5	1	Hannes Kalteis	Austria	15:32.90
1	4	Vlastimil Burda	Czech Republic	15:33.25
4	8	Tim Peterson	Canada	15:34.94
3	8	Torwai Sethsothorn	Thailand	15:39.60
5	7	Adam Faulkner	Great Britain	15:39.86
3	1	Petar Stoychev	Bulgaria	15:42.76
3	2	Jorge Carral Armella	Mexico	15:43.03
3	7	Jin Hao	China	15:48.49
3	6	Cho Sung-Mo	South Korea	15:50.45
2	3	Juan Carlos Piccio	Philippines	15:51.57
2	6	Agustín Fiorilli	Argentina	15:52.69
2	5	Dieung Manggang	Malaysia	16:02.11
2	4	Jonathan Duncan	New Zealand	16:03.41
2	7	Steven Chandra	Indonesia	16:10.98
2	2	Diego Mularoni	San Marino	16:12.91
1	5	Li Yun-Lun	Chinese Taipei	16:13.05
1	3	Ivan Ivanov	Kyrgyzstan	DSQ
