Number	Chapter	Installation Date	Location	Status
1.	Alpha	October 5, 1904	New York, New York	Active
2.	Beta	March 10, 1910	Denver, Colorado	Active
3.	Gamma	November 4, 1911	Chicago , Illinois	Active
4.	Delta	February 8, 1912	Pittsburgh, Pennsylvania	Active
5.	Epsilon	April 16, 1913	Champaign, Illinois	Active
6.	Zeta	May 7, 1914	Lincoln, Nebraska	Active
7.	Eta	May 24, 1914	Cincinnati, Ohio	Active
8.	Theta	May 30, 1914	Corvallis, Oregon	Active
9.	Iota	March 6, 1915	Austin, Texas	Active
10.	Kappa	May 3, 1915	Eugene, Oregon	Active
11.	Lambda	June 1, 1915	Norman, Oklahoma	Closed
12.	Mu	June 6, 1915	Columbus, Ohio	Active
13.	Nu	April 29, 1916	Boston, Massachusetts	Active
14.	Xi	May 1, 1916	Boston, Massachusetts	Closed
15.	Omicron	April 21, 1917	Missoula, Montana	Closed
16.	Pi	November 27, 1917	Atlanta, Georgia	Active
17.	Rho	June 12, 1919	Seattle, Washington	Active
18.	Sigma	June 13, 1919	Colorado Springs, Colorado	Closed
19.	Tau	April 10, 1920	Stillwater, Oklahoma	Active
20.	Upsilon	April 10, 1920	Columbia, Missouri	Active
21.	Phi	May 1, 1920	Ann Arbor, Michigan	Active
22.	Chi	May 22, 1920	New York, New York	Active
23.	Psi	May 29, 1920	Lawrence, Kansas	Active
24.	Omega	January 22, 1921	Williamsburg, Virginia	Active
25.	Alpha Beta	March 8, 1921	Berkeley, California	Active
26.	Alpha Gamma	June 3, 1921	Charlottesville, Virginia	Active
27.	Alpha Delta	May 13, 1922	Lexington, Virginia	Closed
28.	Alpha Epsilon	March 18, 1922	Athens , Georgia	Active
29.	Alpha Zeta	May 3, 1922	Los Angeles, California	Active
30.	Alpha Eta	May 20, 1922	Minneapolis, Minnesota	Active
31.	Alpha Theta	November 18, 1922	Logan, Utah	Closed
32.	Alpha Iota	November 17, 1922	Salt Lake City, Utah	Closed
33.	Alpha Kappa	May 11, 1923	Moscow, Idaho	Colony
34.	Alpha Lambda	May 16, 1923	St. Louis, Missouri	Active
35.	Alpha Mu	May 17, 1923	Madison, Wisconsin	Active
36.	Alpha Nu	May 7, 1923	Tucson, Arizona	Active
37.	Alpha Xi	May 25, 1923	Iowa City, Iowa	Active
38.	Alpha Omicron	May 26, 1923	Syracuse, New York	Active
39.	Alpha Pi	November 12, 1923	Dallas, Texas	Active
40.	Alpha Rho	April 1, 1924	Tuscaloosa, Alabama	Active
41.	Alpha Sigma	May 19, 1924	Bethlehem, Pennsylvania	Closed
42.	Alpha Tau	February 18, 1925	Chapel Hill, North Carolina	Active
43.	Alpha Upsilon	January 5, 1926	Los Angeles, California	Active
44.	Alpha Phi	January 22, 1926	Gainesville, Florida	Active
45.	Alpha Chi	January 25, 1926	Atlanta , Georgia	Active
46.	Alpha Psi	March 11, 1926	Milwaukee, Wisconsin	Closed
47.	Alpha Omega	May 10, 1926	Manhattan, Kansas	Active
48.	Beta Gamma	April 5, 1927	Bloomington, Indiana	Active
49.	Beta Delta	January 14, 1928	Provo, Utah	Closed
50.	Beta Epsilon	June 3, 1928	Chicago , Illinois	Active
51.	Beta Zeta	November 10, 1928	Fayetteville, Arkansas	Active
52.	Beta Eta	December 7, 1929	Durham, North Carolina	Active
53.	Beta Theta	May 20, 1930	Detroit, Michigan	Closed
54.	Beta Iota	April 11, 1931	Buffalo, New York	Active
55.	Beta Kappa	April 18, 1931	London, Ontario , Canada	Closed
56.	Beta Lambda	November 19, 1932	Pullman, Washington	Active
57.	Beta Mu	May 6, 1933	Washington , District of Columbia	Active
58.	Beta Nu	May 16, 1936	Laramie, Wyoming	Active
59.	Beta Xi	February 18, 1939	Blacksburg, Virginia	Active
60.	Beta Omicron	May 18, 1941	Detroit, Michigan	Closed
61.	Beta Pi	May 9, 1941	Coral Gables, Florida	Active
62.	Beta Rho	April 4, 1943	Morgantown, West Virginia	Active
63.	Beta Sigma	January 29, 1947	Jamaica, New York	Active
64.	Beta Tau	May 1, 1948	Albuquerque, New Mexico	Closed
65.	Beta Upsilon	September 25, 1948	Columbia, South Carolina	Active
66.	Beta Phi	May 1, 1949	Des Moines, Iowa	Active
67.	Beta Chi	May 1, 1949	Baton Rouge, Louisiana	Active
68.	Beta Psi	May 28, 1949	Tallahassee, Florida	Active
69.	Beta Omega	December 10, 1949	Birmingham, Alabama	Active
70.	Gamma Delta	May 13, 1950	Winston-Salem, North Carolina	Active
71.	Gamma Epsilon	May 13, 1950	University Park, Pennsylvania	Active
72.	Gamma Zeta	December 3, 1950	Boulder, Colorado	Active
73.	Gamma Eta	January 13, 1951	Toledo, Ohio	Active
74.	Gamma Theta	April 15, 1951	Peoria, Illinois	Closed
75.	Gamma Iota	March 16, 1952	Chicago , Illinois	Active
76.	Gamma Kappa	Sept 28, 1952	Portland, Oregon	Active
77.	Gamma Lambda	November 1,1952	Fresno, California	Active
78.	Gamma Mu	December 6, 1952	East Lansing, Michigan	Active
79.	Gamma Nu	June 7, 1953	Wellesley Park, Massachusetts	Closed
80.	Gamma Xi	October 18, 1953	Portland, Oregon	Closed
81.	Gamma Omicron	November 15, 1953	Northfield, Vermont	Closed
82.	Gamma Pi	January 17, 1954	South Orange, New Jersey	Active
83.	Gamma Rho	March 6, 1954	Kansas City, Missouri	Closed
84.	Gamma Sigma	April 20, 1954	Denver, Colorado	Closed
