Week	Date	Opponent	Result	Attendance
1	September 11, 1938	at Green Bay Packers	L 26-17	8,247
2	September 17, 1938	Chicago Cardinals	L 7-6	7,500
3	September 25, 1938	at Washington Redskins	L 37-13	25,000
4	October 2, 1938	Detroit Lions	W 21-17	8,012
5	October 9, 1938	Chicago Bears	W 14-7	8,024
6	October 23, 1938	at Chicago Bears	W 23-21	18,705
7	October 30, 1938	Green Bay Packers	L 28-7	18,483
8	November 6, 1938	at Detroit Lions	L 6-0	30,140
9	November 13, 1938	at New York Giants	L 28-0	25,000
10	November 27, 1938	at Chicago Cardinals	L 31-17	10,000
11	December 4, 1938	at Pittsburgh Pirates	W 13-7	7,500
