N°	Television service	Country	Language	Content	DAR	HDTV	PPV	Package/Option
350	Vetrina Primafila	Italy	Italian	presentazione	16:9	no	no	qualsiasi
351	Sky Primafila 1 HD	Italy	Italian	Primafila Film	16:9	yes	yes	qualsiasi + Sky HD
352	Sky Primafila 2	Italy	Italian	Primafila Film	16:9	no	yes	qualsiasi
353	Sky Primafila 3 HD	Italy	Italian	Primafila Film	16:9	yes	yes	qualsiasi + Sky HD
354	Sky Primafila 4	Italy	Italian	Primafila Film	16:9	no	yes	qualsiasi
355	Sky Primafila 5 HD	Italy	Italian	Primafila Film	16:9	yes	yes	qualsiasi + Sky HD
356	Sky Primafila 6	Italy	Italian	Primafila Film	16:9	no	yes	qualsiasi
357	Sky Primafila 7 HD	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	yes	yes	qualsiasi + Sky HD
358	Sky Primafila 8	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
359	Sky Primafila 9 HD	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	yes	yes	qualsiasi + Sky HD
360	Sky Primafila 10	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
361	Sky Primafila 11 HD	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	yes	yes	qualsiasi + Sky HD
362	Sky Primafila 12	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
363	Sky Primafila 13 HD	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	yes	yes	qualsiasi + Sky HD
364	Sky Primafila 14	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
365	Sky Primafila 15	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
366	Sky Primafila 16	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
367	Sky Primafila 17	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
368	Sky Primafila 18	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
369	Sky Primafila 19	Italy	Italian	Primafila Film/Primafila Hot Club	16:9	no	yes	qualsiasi
370	Sky Primafila 20 HD	Italy	Italian	Penthouse TV	16:9	yes	yes	qualsiasi + Sky HD
371	Sky Primafila 21	Italy	Italian	Primafila Hot Club	16:9	no	yes	qualsiasi
372	Sky Primafila 22	Italy	Italian	Primafila Hot Club	16:9	no	yes	qualsiasi
373	Sky Primafila 23	Italy	Italian	Primafila Hot Club	16:9	no	yes	qualsiasi
374	Sky Primafila 24	Italy	Italian	Primafila Hot Club	16:9	no	yes	qualsiasi
375	Sky Primafila 25	Italy	Italian	Primafila Hot Club	16:9	no	yes	qualsiasi
376	Sky Primafila 26	Italy	Italian	Primafila Hot Club	16:9	no	yes	qualsiasi
377	Sky Primafila 27	Italy	Italian	Primafila Hot Club	16:9	no	yes	qualsiasi
378	Sky Primafila 28	Italy	Italian	Man-X	16:9	no	yes	qualsiasi
