Year	Boys singles	Girls singles	Boys doubles	Girls doubles	Mixed doubles
2001	Holvy De Pauw	Maria Kristin Yulianti	Hendra Setiawan Joko Riyadi	Lilyana Natsir Natalia Poluakan	Hendra Setiawan Greysia Polii
2002	Andre Kurniawan Tedjono	Fransisca Ratnasari	Ujang Suherlan Yoga Ukikasah	Purwati Meiliana Jauhari	Muhammad Rijal Meiliana Jauhari
2003	Alamsyah Yunus	Wiwis Meilyanna	Fran Kurniawan Chandra Kowi	Pia Zebadiah Nitya Krishinda Maheswari	Fran Kurniawan Yulianti
2004	Andre Kurniawan Tedjono	Pia Zebadiah	Aditya Dwi Putra I Made Agung	Pia Zebadiah Nitya Krishinda Maheswari	Lingga Lie Yulianti
2005	Achmad Rivai	Bellaetrix Manuputty	Rio Willianto Davin Prawidssa	Lily Siswanti Shendy Puspa Irawati	Abdul Rahman Richi Puspita Dili
2006	Nugroho Andi Saputro	Sylvinna Kurniawan	Danny Bawa Chrisnanta Afiat Yuris Wirawan	Bellaetrix Manuputty Samantha Lintang	Danny Bawa Chrisnanta Debby Susanto
2007	Nandang Arif	Lindaweni Fanetri	Budi Hartono Yohanes Rendy Sugiarto	Anneke Feinya Agustin Wenny Setiawati	Wifqi Windarto Debby Susanto
2008	Hermansyah	Ana Rovita	Didit Juang Indrianto Seiko Wahyu Kusdianto	Suci Rizki Andini Tiara Rosalia Nuraidah	Irfan Fadhilah Weni Anggraeni
2009	Riyanto Subagja	Ana Rovita	Jones Ralfy Jansen Dandi Prabudita	Ayu Pratiwi Anggi Widia	Didit Juang Indrianto Yayu Rahayu
2010	Shesar Hiren Rhustavito	Ganis Nur Rahmadani	Jones Ralfy Jansen Dandi Prabudita	Aris Budiharti Dian Fitriani	Jones Ralfy Jansen Nurbeta Kwanrico
