Match	Date	Location	Lineup	Result	Competition
Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup
1	1995-06-06	Gavle	18' ( Akers ) 76' ( Manthei )	3-3	Group match
2	1995-06-08	Gavle	61' ( Keller	2-0	Group match
3	1995-06-10	Helsingborg	78' ( Keller )	4-1	Group match
4	1995-06-13	Gavle	Start	4-0	Quarter-final
5	1995-06-15	Vasteras	53' ( Roberts )	0-1	Semifinal
6	1995-06-17	Gavle	68' ( Keller )	2-0	Third place match
Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament
7	1996-07-21	Orlando, Florida	66' ( Roberts )	3-0	Group stage
8	1996-07-23	Orlando, Florida	58' ( Roberts )	2-1	Group stage
9	1996-07-25	Miami	30' ( Gabarra	0-0	Group stage
10	1996-07-28	Athens, Georgia	96' ( MacMillan )	2-1 aet	Semifinal
11	1996-08-01	Athens, Georgia	71' ( Roberts )	2-1	Gold medal match
USA 1999 FIFA Women's World Cup	USA 1999 FIFA Women's World Cup	USA 1999 FIFA Women's World Cup	USA 1999 FIFA Women's World Cup	USA 1999 FIFA Women's World Cup	USA 1999 FIFA Women's World Cup
12	1999-06-19	East Rutherford, New Jersey	82' ( MacMillan )	3-0	Group stage
13	1999-06-24	Chicago	Start	7-1	Group stage
14	1999-06-27	Boston	45' ( Hamm )	3-0	Group stage
15	1999-07-01	Washington, D.C.	Start	3-2	Quarter-final
16	1999-07-04	San Francisco	88' ( Fotopoulos )	2-0	Semifinal
17	1999-07-10	Los Angeles	115' ( Venturini )	0-0 (pso 5-4)( )	Final
Sydney 2000 Olympic Women's Football Tournament	Sydney 2000 Olympic Women's Football Tournament	Sydney 2000 Olympic Women's Football Tournament	Sydney 2000 Olympic Women's Football Tournament	Sydney 2000 Olympic Women's Football Tournament	Sydney 2000 Olympic Women's Football Tournament
18	2000-09-14	Melbourne	Start	2-0	Group stage
19	2000-09-17	Melbourne	Start	1-1	Group stage
20	2000-09-20	Melbourne	Start	3-1	Group stage
21	2000-09-24	Canberra	Start	1-0	Semifinal
22	2000-09-28	Sydney	Start	2-3 aet	Gold medal match
11	2000-09-28	Sydney	Start	2-3 aet	Gold medal match
USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup
23	2003-09-21	Washington, D.C.	56' ( Wamhach )	3-1	Group stage
24	2003-09-25	Philadelphia	57' ( Parlow )	5-0	Group stage
25	2003-09-28	Columbus, Ohio	Start	3-0	Group stage
26	2003-10-01	Foxboro, Massachusetts	72' ( Parlow )	1-0	Quarter-final
27	2003-10-05	Portland, Oregon	70' ( Bivens )	0-3	Semifinal
28	2003-10-11	Carson, California	43' ( Parlow )	3-1	Third place match
Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports
