Round	Player	Position	Nationality	College/Junior/Club Team (League)
2	Don Maloney	LW	Canada	Kitchener Rangers ( OHA )
3	Ray Markham	C	Canada	Flin Flon Bombers ( WCHL )
3	Dean Turner	D	United States	University of Michigan ( NCAA )
4	Dave Silk	RW	United States	Boston University (NCAA)
4	Andre Dore	D	Canada	Quebec Remparts ( QMJHL )
5	Mike McDougall	RW	United States	Port Huron Flags ( IHL )
6	Tom Laidlaw	D	Canada	Northern Michigan University (NCAA)
7	Dan Clark	D	Canada	Milwaukee Admirals (IHL)
8	Greg Kostenko	D	Canada	Ohio State University (NCAA)
9	Brian McDavid	D	Canada	Kitchener Rangers (OHA)
10	Mark Rodrigues	G	United States	Yale University (NCAA)
11	Steve Weeks	G	Canada	Northern Michigan University (NCAA)
12	Pierre Daigneault	LW	Canada	Montreal Juniors (QMJHL)
13	Chris McLaughlin	D	United States	Dartmouth College (NCAA)
14	Todd Johnson	C	United States	Boston University (NCAA)
15	Dan McCarthy	C	Canada	Sudbury Wolves (OHA)
