Quarterback	Games	Teams	Wins	Losses	Percent
Brad Johnson Category:Articles with hCards	7	Vikings	0	1	.571
Brad Johnson Category:Articles with hCards	7	Redskins	1	1	.571
Brad Johnson Category:Articles with hCards	7	Buccaneers †	3	1	.571
Kerry Collins Category:Articles with hCards	7	Panthers	1	1	.429
Kerry Collins Category:Articles with hCards	7	Giants	2	2	.429
Kerry Collins Category:Articles with hCards	7	Titans	0	1	.429
Dave Krieg Category:Articles with hCards	9	Seahawks	3	4	.333
Dave Krieg Category:Articles with hCards	9	Chiefs	0	1	.333
Dave Krieg Category:Articles with hCards	9	Lions	0	1	.333
Jeff Garcia Category:Articles with hCards	6	49ers	1	2	.333
Jeff Garcia Category:Articles with hCards	6	Eagles	1	1	.333
Jeff Garcia Category:Articles with hCards	6	Buccaneers	0	1	.333
