Player	Height	Position	Year born	Current Club
Bartłomiej Wołoszyn	1.97	Forward	1986	Anwil Wloclawek
Andrzej Pluta	1.81	Guard	1974	Anwil Wloclawek
Robert Skibniewski	1.82	Guard	1983	BOT Turów
Robert Witka	2.06	Forward	1981	BOT Turów
Filip Dylewicz	2.02	Forward	1980	Prokom Trefl Sopot
Radosław Hyży	2.00	Forward	1977	Śląsk Wrocław
Adam Wójcik	2.08	Forward	1970	UPEA Capo d'Orlando
Kamil Pietras	2.04	Forward	1988	Olimpija Ljubljana
Szymon Szewczyk	2.09	Center	1982	Lokomotiv Rostov
Iwo Kitzinger	1.88	Guard	1985	BOT Turów
Przemysław Frasunkiewicz	2.01	Forward	1979	Energa Czarni
Łukasz Koszarek	1.87	Guard	1984	Anwil Wloclawek
