Class	Railway number(s)	Quantity	Year(s) of manufacture	Type
B(Krauss) ( de )	172–177	6	1867–1868	B n2t
T 3	885–994	110	1891–1913	C n2t
T 3	996–999	4	1894–1896	C n2t
T ( de )	1001–1010	10	1896–1904	B n2t
T 9 ( de )	1101–1110	10	1906–1907	1′C n2t
T 4	851–858	8	1906–1909	D n2t
T 5	1201–1296	96	1910–1917	1′C1′ h2t
T 6	1401–1412	12	1916–1918	D h2t
T 18	1121–1140	20	1919	2′C2′ h2t
T 14	1441–1460, 1461–1479	39	1921–1922	1′D1′ h2t
Tn ( de )	1001–1030	30	1921–1922	E h2t
Tk ( de )	1–2	2	1876	B1 n2t
Tu ( de )	1–2	2	1873	B n2t
KL ( de )	1–2	2	1908	B h2t
