Winner	Country	Winter Olympics	FIS Nordic World Ski Championships	Holmenkollen
Thorleif Haug	Norway	1924	1924	1919, 1920, 1921
Johan Grøttumsbråten	Norway	1928, 1932	1926, 1928, 1931, 1932	1923, 1926, 1928, 1929, 1931
Oddbjørn Hagen	Norway	1936	1934, 1935, 1936	1932, 1934, 1935
Heikki Hasu	Finland	1948	1948, 1950	1953
Simon Slåttvik	Norway	1952	1952	1948, 1950, 1951
Sverre Stenersen	Norway	1956	1954, 1956	1955, 1956, 1959
Georg Thoma	Federal Republic of Germany	1960	1960, 1966	1963, 1964, 1965, 1966
Tormod Knutsen	Norway	1964	1964	1958
Franz Keller	Federal Republic of Germany	1968	1968	1967
Ulrich Wehling	German Democratic Republic	1972, 1976, 1980	1972, 1974, 1976, 1980	1975, 1976, 1977
Tom Sandberg	Norway	1984	1982	1974, 1982
Bjarte Engen Vik	Norway	1998	1999, 2001	1996, 1997, 1998, 1999, 2000
