Year	Entrant	Chassis	Engine	Pts.
1981	Osella Squadra Corse	Osella FA1B	Ford Cosworth DFV V8	0
1983	Osella Squadra Corse	Osella FA1D	Ford Cosworth DFV V8	0
1983	Osella Squadra Corse	Osella FA1E	Alfa Romeo V12	0
1984	Osella Squadra Corse	Osella FA1F	Alfa Romeo V8 (t/c)	2
1985	Osella Squadra Corse	Osella FA1F	Alfa Romeo V8 (t/c)	0
1985	Osella Squadra Corse	Osella FA1G	Alfa Romeo V8 (t/c)	0
1985	Toleman Group Motorsport	Toleman TG185	Hart Straight-4 (t/c)	0
1986	Osella Squadra Corse	Osella FA1F	Alfa Romeo V8 (t/c)	0
1986	Osella Squadra Corse	Osella FA1H	Alfa Romeo V8 (t/c)	0
1986	Osella Squadra Corse	Osella FA1G	Alfa Romeo V8 (t/c)	0
1987	Ligier Loto	Ligier JS29B	Megatron Straight-4 (t/c)	0
1987	Ligier Loto	Ligier JS29C	Megatron Straight-4 (t/c)	0
1988	Zakspeed	Zakspeed 881	Zakspeed Straight-4 (t/c)	0
1988	Zakspeed	Zakspeed 881B	Zakspeed Straight-4 (t/c)	0
1989	Osella Squadra Corse	Osella FA1M89	Ford Cosworth DFR V8	0
