Place	Player	Country	Score	To par	Money ( $ )
1	Steve Jones	United States	74-66-69-69=278	–2	425,000
T2	Tom Lehman	United States	71-72-65-71=279	–1	204,801
T2	Davis Love III	United States	71-69-70-69=279	–1	204,801
4	John Morse	United States	68-74-68-70=280	E	111,235
T5	Ernie Els	South Africa	72-67-72-70=281	+1	84,965
T5	Jim Furyk	United States	72-69-70-70=281	+1	84,965
T7	Ken Green	United States	73-67-72-70=282	+2	66,295
T7	Scott Hoch	United States	73-71-71-67=282	+2	66,295
T7	Vijay Singh	Fiji	71-72-70-69=282	+2	66,295
T10	Lee Janzen	United States	68-75-71-69=283	+3	52,591
T10	Colin Montgomerie	Scotland	70-72-69-72=283	+3	52,591
T10	Greg Norman	Australia	73-66-74-70=283	+3	52,591
