State	Interview	Swimsuit	Evening gown	Average
Alabama	9.20	8.97	8.81	8.993
Alaska	8.66	7.81	7.74	8.070
Arizona	9.09	8.39	8.81	8.763
Arkansas	8.49	7.94	7.69	8.040
California	9.25	8.48	8.53	8.753
Colorado	8.96	8.23	8.30	8.497
Connecticut	8.48	7.79	8.50	8.257
Delaware	8.82	8.31	8.24	8.457
District of Columbia	7.91	7.81	7.94	7.887
Florida	8.98	8.62	8.16	8.587
Georgia	9.53	9.08	9.10	9.237
Hawaii	9.15	8.26	8.24	8.550
Idaho	8.26	7.61	7.89	7.920
Illinois	8.54	7.56	7.83	7.977
Indiana	8.88	8.58	7.99	8.483
Iowa	8.76	8.13	7.61	8.167
Kansas	9.38	9.26	8.59	9.077
Kentucky	9.69	8.79	9.14	9.207
Louisiana	9.25	8.25	8.79	8.763
Maine	8.26	7.74	7.94	7.980
Maryland	8.68	7.85	7.77	8.100
Massachusetts	8.85	7.51	7.64	8.000
Michigan	9.06	8.49	7.81	8.453
Minnesota	8.46	8.49	8.10	8.350
Mississippi	8.94	8.51	8.59	8.680
Missouri	8.54	8.05	7.89	8.160
Montana	8.16	7.56	7.26	7.660
Nebraska	8.61	7.75	7.34	7.900
Nevada	8.19	8.26	8.80	8.417
New Hampshire	8.53	8.55	8.24	8.440
New Jersey	8.82	8.24	8.84	8.633
New Mexico	8.80	8.05	8.49	8.113
New York	8.49	8.03	8.13	8.217
North Carolina	8.73	8.80	9.03	8.853
North Dakota	8.50	8.33	8.24	8.357
Ohio	9.11	8.17	8.14	8.473
Oklahoma	8.67	8.32	8.03	8.340
Oregon	8.37	7.29	7.51	7.723
Pennsylvania	8.74	7.89	8.07	8.233
Rhode Island	8.13	7.92	7.60	7.883
South Carolina	9.04	9.05	9.10	9.063
South Dakota	8.29	7.38	7.46	7.713
Tennessee	8.95	7.94	7.74	8.210
Texas	9.36	9.34	9.34	9.347
Utah	8.24	8.04	7.54	7.940
Vermont	8.49	7.34	7.27	7.700
Virginia	8.89	9.18	8.54	8.870
Washington	8.66	7.78	7.81	8.083
West Virginia	8.72	8.18	7.60	8.167
Wisconsin	8.53	7.85	7.71	8.030
Wyoming	8.59	8.06	8.09	8.247
